DBKEY,EIN,UEI,AUDITEENAME,COGAGENCY,DATE_ADDED
228066,521954196,,"RAZA DEVELOPMENT FUND, INC.",21,3/25/2021
230310,205189202,,OPPORTUNITY FINANCE NETWORK,21,3/25/2021
231775,520591543,VDMQJRLN4LQ3,UNITED WAY OF CENTRAL MARYLAND INC,21,4/5/2023
233817,232331946,,"REINVESTMENT FUND, INC. AND AFFILIATES",21,3/25/2021
236094,910313383,,COUNCIL FOR NATIVE HAWAIIAN ADVANCEMENT,21,7/6/2022
237356,136532871,,"NATIONAL COUNCIL FOR COMMUNITY DEVELOPMENT, INC.",21,10/10/2022
240587,383315978,G1QCQA9QRJK5,HOMELESS ACTION NETWORK OF DETROIT,21,3/24/2023
242068,411616861,,"COMMUNITY REINVESTMENT FUND, INC. AND SUBSIDIARIES",21,3/25/2021
250671,926001185,,ALASKA INDUSTRIAL DEVELOPMENT AND EXPORT AUTHORITY,21,12/27/2021
251563,825258187,DPDDX2J3K735,LIFT TO RISE,21,6/8/2023
251723,237181456,WRCPSYBRB5N6,CENTRO LEGAL DE LA RAZA,21,1/5/2023
251777,461549875,EL6UD5XNAHK6,ALLIANCE FOR HOUSING OAKLAND COUNTY CONTINUUM OF CARE,21,2/16/2023
252205,541760384,,"COMMUNITY BUSINESS PARTNERSHIP, INC.",21,2/7/2022
253206,232920364,,PENNSYLVANIA CDFI NETWORK,21,5/16/2022
253952,731396320,,COMMUNITIES FOUNDATION OF OKLAHOMA,21,7/19/2022
254037,920042304,,"COOK INLET REGION, INC.",21,7/27/2022
254327,330047994,TWL3WEV59TH4,ORANGE COUNTY'S UNITED WAY,21,2/1/2023
254787,562379862,,BRILLIANT CORNERS,21,9/28/2022
256678,871237752,GM5HSAC69XE5,CALHFA HOMEOWNER RELIEF CORPORATION,21,4/20/2023
257083,920044137,,ARCTIC SLOPE REGIONAL CORPORATION,21,2/23/2023
258151,222593378,P49TYES2Z113,"BLUEHUB CAPITAL, INC. AND AFFILIATES",21,5/17/2023
101078,741070544,,SOUTHWEST RESEARCH INSTITUTE,43,3/25/2021
111596,860138043,,"ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY, INC.",43,3/25/2021
193965,951643307,,JET PROPULSION LABORATORY,43,3/25/2021
203062,530206027,,SMITHSONIAN INSTITUTION,43,3/25/2021
225398,520892064,,UNIVERSITIES SPACE RESEARCH ASSOCIATION,43,3/25/2021
2550,042105850,,WOODS HOLE OCEANOGRAPHIC INSTITUTION,47,3/25/2021
8489,111630900,,"ASSOCIATED UNIVERSITIES, INC.",47,3/25/2021
20066,210634501,,PRINCETON UNIVERSITY,47,3/25/2021
101106,741109620,,WILLIAM MARSH RICE UNIVERSITY,47,3/25/2021
101351,741238434,,TEXAS A&M RESEARCH FOUNDATION,47,3/25/2021
109269,840412668,,UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH,47,3/25/2021
123473,951643307,,CALIFORNIA INSTITUTE OF TECHNOLOGY,47,3/25/2021
64934,421114803,,BLACK HAWK ECONOMIC DEVELOPMENT INC,59,3/25/2021
85763,581496388,,"SMALL BUSINESS ACCESS PARTNERS, INC.",59,3/25/2021
109754,840732616,,PIKES PEAK REGIONAL DEVELOPMENT CORPORATION,59,3/25/2021
120189,942548556,,MAIN STREET LAUNCH,59,4/28/2022
183597,742712770,ZW2LP2T9CKF2,LIFTFUND INC.,59,6/21/2023
192718,421150060,,SIOUXLAND ECONOMIC DEVELOPMENT CORPORATION,59,3/25/2021
208943,363966573,,ALLIES FOR COMMUNITY BUSINESS,59,6/2/2022
220957,222309023,,REGIONAL BUSINESS ASSISTANCE CORPORATION,59,3/25/2021
240047,356000158,,INDIANA ECONOMIC DEVELOPMENT CORPORATION,59,2/25/2022
245753,341897225,,REGIONAL BUSINESS ASSISTANCE CORPORATION,59,3/1/2022
258066,860108839,FNLTCQ8TL4L4,THE PHOENIX THEATRE COMPANY,59,5/4/2023
258477,560946437,RDPDXKHU5BC8,RICHLAND-LEXINGTON RIVERBANKS PARK DISTRICT,59,7/6/2023
106316,756000450,,CITY OF ARLINGTON,66,7/2/2022
146075,610858140,K4A4SNZG2YY9,LEXINGTON-FAYETTE URBAN COUNTY GOVERNMENT,66,2/14/2023
147138,016000032,,CITY OF PORTLAND MAINE,66,7/6/2022
153630,436011991,,THE METROPOLITAN ST. LOUIS SEWER DISTRICT,66,11/3/2021
161932,456002069,,CITY OF FARGO,66,7/12/2022
163886,341128332,,NORTHEAST OHIO REGIONAL SEWER DISTRICT,66,3/25/2021
166236,936002183,KGJ9RMCYNNM3,CITY OF HILLSBORO,66,12/27/2022
171671,626000361,,CITY OF MEMPHIS,66,4/6/2022
172278,746028909,,"CITY OF PEARLAND, TEXAS",66,4/10/2022
181549,581667498,,GEORGIA ENVIRONMENTAL FINANCE AUTHORITY,66,3/25/2021
183049,526002033,,MARYLAND WATER QUALITY FINANCING ADMINISTRATION,66,10/31/2021
185273,541288444,,VIRGINIA RESOURCE AUTHORITY,66,3/25/2021
185545,141499804,,NEW YORK STATE ENVIRONMENTAL FACILITIES CORPORATION,66,3/25/2021
187010,946000410,,CITY OF SACRAMENTO,66,4/9/2022
187744,346000020,,"CITY OF AKRON, OHIO",66,2/9/2023
188341,956000736,YVCBUGKDEUF7,DEPARTMENT OF WATER AND POWER OF THE CITY OF LOS ANGELES WATER SYSTEM,66,3/23/2023
190083,526002653,,WASHINGSTON SUBURBAN SANITARY COMMISSION,66,12/27/2021
196487,043119080,,MASSACHUSETTS CLEAN WATER TRUST,66,3/25/2021
197066,416007162,,MINNESOTA PUBLIC FACILITIES AUTHORITY,66,3/25/2021
197945,850432350,,NEW MEXICO FINANCE AUTHORITY,66,2/23/2022
201102,626000290,,"CITY OF FRANKLIN, TENNESSEE",66,1/7/2022
204306,956002277,PBDCJHMN11V5,ORANGE COUNTY WATER DISTRICT,66,11/16/2022
204521,952303211,,H-DESERT WATER DISTRICT,66,3/25/2021
230430,066000532,,THE METROPOLITAN DISTRICT,66,3/25/2021
243901,680281986,TGFTZM2DN5Z2,CA STATE WATER RESOURCES CONTROL BOARD WATER POLLUTION REVOLVING FUND,66,2/15/2023
245385,680281986,,CA ST WATER RESOURCES CONTROL BD SAFE DRINKING WATER ST REVOLVING FUND,66,3/25/2021
253438,526002033,S734YDNLSHW5,MARYLAND WATER INFRASTRUCTURE FINANCING ADMINISTRATION,66,11/29/2022
253614,756004258,GWLYHAYMS3K4,NORTH TEXAS MUNICIPAL WATER DISTRICT,66,2/24/2023
257559,521566252,LJ2NNMA3JZZ7,NEW JERSEY INFRASTRUCTURE BANK,66,3/30/2023
92977,620476816,,"OAK RIDGE ASSOCIATED UNIVERSITIES, INCORPORATED",81,3/25/2021
166777,930624734,,CONFEDERATED TRIBES OF THE UMATILLA INDIAN RESERVATION,81,9/28/2022
127,010211810,,UNIVERSITY OF NEW ENGLAND,84,3/25/2021
1062,020368776,,NEW HAMPSHIRE HIGHER EDUCATION LOAN CORPORATION,84,3/25/2021
1231,026007687,,NEW HAMPSHIRE HIGHER EDUCATION ASSISTANCE FOUNDATION,84,3/25/2021
1354,030179414,N3UTNKGNEZK9,BENNINGTON COLLEGE AND SUBSIDIARY,84,12/21/2022
1366,030179440,,UNIVERSITY OF VERMONT AND STATE AGRICULTURAL COLLEGE,84,3/25/2021
1815,041286950,,EMERSON COLLEGE,84,11/9/2021
1942,041679980,,NORTHEASTERN UNIVERSITY,84,3/25/2021
2130,042103545,,TRUSTEES OF BOSTON COLLEGE,84,3/25/2021
2131,042103547,,BOSTON UNIVERSITY,84,3/25/2021
2135,042103552,,BRANDEIS UNIVERSITY,84,3/25/2021
2187,042103629,,SIMMONS UNIVERSITY,84,3/25/2021
2190,042103634,,TUFTS UNIVERSITY,84,3/25/2021
2256,042103865,,BAY PATH UNIVERSITY,84,3/25/2021
2385,042104329,,SPRINGFIELD COLLEGE,84,3/25/2021
2443,042104700,,MCPHS UNIVERSITY,84,3/25/2021
2619,042108376,,WESTERN NEW ENGLAND UNIVERSITY,84,3/25/2021
2667,042121659,,WORCESTER POLYTECHNIC INSTITUTE,84,3/25/2021
2723,042133255,,SUFFOLK UNIVERSITY,84,3/25/2021
3013,042300472,,"BERKLEE COLLEGE OF MUSIC, INC.",84,3/25/2021
5982,050277222,,ROGER WILLIAMS UNIVERSITY,84,3/25/2021
6016,050306206,,JOHNSON & WALES UNIVERSITY,84,3/25/2021
6652,060646701,,QUINNIPIAC UNIVERSITY,84,3/25/2021
6713,060646936,,UNIVERSITY OF BRIDGEPORT,84,3/25/2021
6983,060731360,,UNIVERSITY OF HARTFORD,84,3/25/2021
7022,060761704,,UNIVERSITY OF NEW HAVEN,84,3/25/2021
7055,060776644,,"SACRED HEART UNIVERSITY, INC.",84,3/25/2021
8469,111630741,,ADELPHI UNIVERSITY,84,3/25/2021
8486,111630822,,PRATT INSTITUTE,84,3/25/2021
8488,111630830,,ST. JOHN'S UNIVERSITY,84,3/25/2021
8490,111630906,,HOFSTRA UNIVERSITY,84,3/25/2021
8518,111633516,,LONG ISLAND UNIVERSITY,84,3/25/2021
8650,111788788,,NEW YORK INSTITUTE OF TECHNOLOGY,84,3/25/2021
8656,111797182,,MOLLOY COLLEGE,84,3/25/2021
8813,262415339,,SUFFOLK COUNTY COMMUNITY COLLEGE,84,4/20/2022
10394,131099420,,NEW YORK MEDICAL COLLEGE,84,3/25/2021
10689,131624202,,"TEACHERS COLLEGE, COLUMBIA UNIVERSITY",84,3/25/2021
10698,131624225,,YESHIVA UNIVERSITY,84,3/25/2021
11508,132501829,,"AMDA, INC. AND SUBSIDIARY (THE AMERICAN MUSICAL AND DRAMATIC ACADEMY)",84,3/25/2021
11852,132676570,,TOURO COLLEGE,84,3/25/2021
13468,133297197,,THE NEW SCHOOL,84,3/25/2021
15175,135562308,,NEW YORK UNIVERSITY,84,3/25/2021
15177,135562314,,PACE UNIVERSITY,84,3/25/2021
15234,135564934,,BETH ISRAEL MEDICAL CENTER AND AFFILIATES,84,10/10/2022
15535,132556338,,FASHION INSTITUTE OF TECHNOLOGY,84,2/18/2022
17157,141340095,,RENSSELAER POLYTECHNIC INSTITUTE,84,3/25/2021
17331,141442493,,MARIST COLLEGE AND AFFILIATES,84,3/25/2021
18063,150532081,,SYRACUSE UNIVERSITY,84,3/25/2021
18082,150532204,,ITHACA COLLEGE,84,3/25/2021
18167,150543659,,CLARKSON UNIVERSITY,84,3/25/2021
18543,160743140,,ROCHESTER INSTITUTE OF TECHNOLOGY,84,3/25/2021
18626,160746864,,ST. JOHN FISHER COLLEGE AND SUBSIDIARIES,84,3/25/2021
18798,160849590,,MONROE COMMUNITY COLLEGE,84,3/25/2021
19715,161476258,,UTICA COLLEGE,84,3/25/2021
20056,210634479,,EDUCATIONAL TESTING SERVICE,84,1/4/2022
20084,210634584,,MONMOUTH UNIVERSITY,84,3/25/2021
20145,210650678,,RIDER UNIVERSITY,84,8/4/2022
20541,221487322,,"HOLY NAME MEDICAL CENTER, INC. & SUBSIDIARIES",84,10/10/2022
20545,221487354,,STEVENS INSTITUTE OF TECHNOLOGY,84,3/25/2021
20627,221500645,,SETON HALL UNIVERSITY,84,3/25/2021
23549,222872262,,"COMMUNITY LOAN FUND OF NEW JERSEY, INC.",84,6/2/2022
25413,231352204,,TOWER HEALTH,84,9/27/2022
25515,231352630,,DREXEL UNIVERSITY,84,3/25/2021
25526,231352651,,THOMAS JEFFERSON UNIVERSITY,84,3/25/2021
25528,231352654,,LA SALLE UNIVERSITY,84,3/25/2021
25529,231352655,T59JHM69NCZ3,LINCOLN UNIVERSITY OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,84,3/16/2023
25540,231352674,,SAINT JOSEPH'S UNIVERSITY,84,3/25/2021
25547,231352688,,VILLANOVA UNIVERSITY,84,3/25/2021
25567,231355135,,PHILADELPHIA COLLEGE OF OSTEOPATIC MEDICINE FOUNDATION AND RELATED ENT,84,3/25/2021
25638,231365971,,TEMPLE UNIVERSITY,84,3/25/2021
25705,231386178,,WIDENER UNIVERSITY AND AFFILIATE,84,3/25/2021
25774,231413680,,SALUS UNIVERSITY AND ITS FOUNDATION,84,3/25/2021
27760,232564508,,PENNSYLVANIA COLLEGE OF TECHNOLOGY,84,3/25/2021
29125,237025386,,PANHANDLE-PLAINS HIGHER EDUCATION AUTHORITY,84,3/25/2021
31045,237133739,,"NORTH TEXAS HIGHER EDUCATION AUTHORITY, INC",84,3/25/2021
31596,237172306,,NATIONAL UNIVERSITY,84,3/25/2021
33196,340896630,,CUYAHOGA COMMUNITY COLLEGE,84,3/25/2021
35195,240795445,,LEHIGH UNIVERISTY,84,3/25/2021
35206,240795495,,THE UNIVERSITY OF SCRANTON,84,3/25/2021
35212,240795506,U8BCVKFYFJZ2,WILKES UNIVERSITY,84,1/19/2023
35469,250496976,,GANNON UNIVERSITY,84,7/14/2022
35683,250965219,,AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,84,3/25/2021
35732,250965430,,MERCYHURST UNIVERSITY,84,6/9/2022
35942,251035663,,DUQUESNE UNIVERSITY OF THE HOLY SPIRIT,84,3/25/2021
37223,251698677,,LAKE ERIE COLLEGE OF OSTEOPATHIC MEDICINE,84,3/25/2021
37834,310536640,,ANTIOCH UNIVERSITY,84,3/25/2021
37861,310536715,,UNIVERSITY OF DAYTON,84,3/25/2021
37918,310537516,,XAVIER UNIVERSITY,84,3/25/2021
38025,310621866,,KETTERING HEALTH NETWORK,84,10/10/2022
38105,310707369,,FRANKLIN UNIVERSITY AND SUBSIDIARY,84,11/23/2021
42354,340714626,,ASHLAND UNIVERSITY,84,3/2/2022
44389,344429091,,OHIO NORTHERN UNIVERSITY,84,3/25/2021
45426,350845258,,"INDIANA INSTITUTE OF TECHNOLOGY, INC.",84,3/25/2021
45463,350867977,,BUTLER UNIVERSITY,84,3/25/2021
45486,350868107,,UNIVERSITY OF INDIANAPOLIS,84,3/25/2021
45506,350868175,,MARIAN UNIVERSITY,84,3/25/2021
45510,350868188,,UNIVERSITY OF NOTRE DAME DU LAC,84,3/25/2021
45608,350885591,,INDIANA WESLEYAN UNIVERSITY,84,3/25/2021
47703,366112087,,COLUMBIA COLLEGE CHICAGO,84,3/25/2021
47882,361408475,,LOYOLA UNIVERSITY OF CHICAGO,84,3/25/2021
48272,362166964,,AURORA UNIVERSITY,84,3/25/2021
48297,362167048,,DEPAUL UNIVERSITY,84,3/25/2021
48313,362167725,R3T3SZHLYJY7,THE ART INSTITUTE OF CHICAGO,84,11/17/2022
48335,362167773,,LEWIS UNIVERSITY,84,3/25/2021
48426,362170136,,ILLINOIS INSTITUTE OF TECHNOLOGY,84,3/25/2021
48517,362181973,,ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE AND AFFILIATE,84,3/25/2021
49357,362722198,,BENEDICTINE UNIVERSITY AND AFFILIATES,84,3/25/2021
49782,363005527,,THE CHICAGO SCHOOL-CAL INC DBA THE CHICAGO SCH OF PRO PSYCHOLOGY,84,3/25/2021
50642,363377698,,MIDWESTERN UNIVERSITY,84,3/25/2021
50976,363514573,,"NEBRASKA STUDENT LOAN PROGRAM, INC. DBA NATIONAL STUDENT LOAN PROGRAM",84,3/25/2021
53254,370661494,,BRADLEY UNIVERSITY,84,3/25/2021
54157,376005961,,SOUTHERN ILLINOIS UNIVERSITY,84,3/25/2021
54309,380321740,,BAKER COLLEGE AND SUBSIDIARIES,84,3/25/2021
54829,381359083,,ALMA COLLEGE,84,7/26/2022
54901,381360586,,UNIVERSITY OF DETROIT MERCY,84,3/25/2021
55659,381945965,,DAVENPORT UNIVERSITY,84,3/25/2021
55736,381988915,,THOMAS M. COOLEY LAW SCHOOL DBA WESTERN MICHIGAN UNIVERSITY THOMAS M C,84,3/25/2021
58639,390806251,,MARQUETTE UNIVERSITY,84,3/25/2021
58834,390833608,,"CONCORDIA UNIVERSITY, INC. AND AFFILIATE",84,3/25/2021
59643,396003459,,MILWAUKEE AREA TECHNICAL COLLEGE,84,3/25/2021
61396,410693970,,UNIVERSITY OF ST. THOMAS,84,3/25/2021
61412,410695509,,ST. CATHERINE UNIVERSITY,84,3/25/2021
61414,410695527,,SAINT MARY'S UNIVERSITY OF MINNESOTA,84,3/25/2021
64966,421137531,,IOWA STUDENT LOAN LIQUIDITY CORPORATION,84,3/25/2021
65449,421435199,,IOWA HEALTH SYSTEM AND SUBSIDIARIES DBA UNITYPOINT HEALTH,84,10/10/2022
65539,426081293,,PALMER COLLEGE FOUNDATION AND PALMER COLLEGE OF CHIROPRACTIC - WEST,84,3/25/2021
65687,430356250,,A.T. STILL UNIVERSITY OF HEALTH SCIENCES,84,3/25/2021
65809,430652649,,LINDENWOOD UNIVERSITY,84,3/25/2021
65841,430653369,,MARYVILLE UNIVERSITY,84,3/25/2021
65863,430654872,,SAINT LOUIS UNIVERSITY,84,3/25/2021
65867,430655867,,COLUMBIA COLLEGE,84,3/25/2021
65887,430662529,,WEBSTER UNIVERSITY,84,3/25/2021
65989,430746185,,"LOGAN UNIVERSITY, INC.",84,3/25/2021
67983,440545280,,KANSAS CITY UNIVERSITY OF MEDICINE AND BIOSCIENCES,84,3/25/2021
68053,440562048,,PARK UNIVERSITY,84,3/25/2021
68080,471087427,,COXHEALTH,84,6/23/2022
69267,470376583,,CREIGHTON UNIVERSITY,84,3/25/2021
69276,470639839,,NEBRASKA METHODIST HEALTH SYSTEM,84,8/24/2022
69462,470491571,,BELLEVUE UNIVERSITY,84,3/25/2021
71253,510107088,,"WILMINGTON UNIVERSITY, INC",84,3/25/2021
72950,520591623,,"LOYOLA UNIVERSITY MARYLAND, INC",84,3/25/2021
74735,521245746,,"RIVERSIDE HEALTHCARE ASSOCIATION, INC.",84,10/6/2022
77809,530196549,,AMERICAN UNIVERSITY,84,3/25/2021
77823,530196583,,THE CATHOLIC UNIVERSITY OF AMERICA AND SUBSIDIARIES,84,3/25/2021
77824,530196584,,THE GEORGE WASHINGTON UNIVERSITY,84,3/25/2021
77831,530196603,,GEORGETOWN UNIVERSITY,84,3/25/2021
77883,530204707,,THE HOWARD UNIVERSITY,84,3/25/2021
78383,540505990,,HAMPTON UNIVERSITY AND SUBSIDIARIES,84,3/25/2021
78442,540525605,,SHENANDOAH UNIVERSITY,84,3/25/2021
78689,540715569,,"CENTRA HEALTH, INC.",84,10/5/2022
79002,540946734,,"LIBERTY UNIVERSITY, INC.",84,3/25/2021
79142,541061178,,REGENT UNIVERSITY AND AFFILIATED ORGANIZATIONS,84,3/25/2021
79772,521271901,,SENTARA HEALTHCARE AND SUBSIDIARIES,84,10/5/2022
80286,546055378,,EASTERN VIRGINIA MEDICAL SCHOOL,84,3/25/2021
81316,560529940,,CAMPBELL UNIVERSITY INCORPORATED,84,3/25/2021
81341,560529990,,PFEIFFER UNIVERSITY,84,1/28/2022
81346,560529999,,HIGH POINT UNIVERSITY,84,3/25/2021
81375,560532303,,ELON UNIVERSITY,84,3/25/2021
83091,566046937,,"COLLEGE FOUNDATION, INC.",84,3/25/2021
83404,570314402,ZE7BFE5NNDC3,LIMESTONE UNIVERSITY,84,5/9/2023
84632,580566143,H13ZRHGUJFJ7,BRENAU UNIVERSITY,84,3/31/2023
84650,580566205,,MOREHOUSE COLLEGE,84,3/25/2021
84663,580566243,,SPELMAN COLLEGE,84,3/25/2021
85388,581357177,,"THE SAVANNAH COLLEGE OF ART AND DESIGN, INC.",84,3/25/2021
85608,581438873,,"MOREHOUSE SCHOOL OF MEDICINE, INC AND AFFILIATE",84,3/25/2021
86359,581757969,,"EDUCATIONAL FUNDING OF THE SOUTH, INC. AND SUBSIDIARIES",84,3/25/2021
86512,581825259,,CLARK ATLANTA UNIVERSITY,84,3/25/2021
87864,590624364,,BARRY UNIVERSITY,84,3/25/2021
87886,590624416,,"STETSON UNIVERSITY, INC.",84,3/25/2021
87899,590624458,,UNIVERSITY OF MIAMI,84,3/25/2021
87900,590624459,,"THE UNIVERSITY OF TAMPA, INC.",84,3/25/2021
88048,590704726,,"BETHUNE-COOKMAN UNIVERSITY, INC.",84,3/25/2021
88084,590722789,,"SOUTHEASTERN UNIVERSITY, INC. AND SUBSIDIARY",84,3/25/2021
88388,590949880,,"ST. THOMAS UNIVERSITY, INC.",84,3/25/2021
88532,591083502,,"NOVA SOUTHEASTERN UNIVERSITY, INC.",84,3/25/2021
88747,591237047,,"SAINT LEO UNIVERSITY, INC",84,3/25/2021
91200,596046500,,"FLORIDA INSTITUTE OF TECHNOLOGY, INC.",84,3/25/2021
91651,610444650,,BEREA COLLEGE,84,3/25/2021
91678,610444788,,UNIVERSITY OF PIKEVILLE,84,3/25/2021
91751,610470593,,"UNIVERSITY OF THE CUMBERLANDS, INC.",84,3/25/2021
92927,620465076,,BELMONT UNIVERSITY,84,3/25/2021
92979,620476822,,VANDERBILT UNIVERSITY,84,3/25/2021
92997,620479542,,LINCOLN MEMORIAL UNIVERSITY,84,10/31/2022
93013,620484185,WLC1GBMGN9N7,TUSCULUM UNIVERSITY,84,4/5/2023
93016,620485733,,LIPSCOMB UNIVERSITY,84,3/25/2021
94539,630288878,,TUSKEGEE UNIVERSITY,84,3/25/2021
94582,630312914,,SAMFORD UNIVERSITY,84,3/25/2021
95676,610303069,,BELHAVEN UNIVERSITY,84,11/23/2021
95684,640303086,,MISSISSIPPI COLLEGE,84,3/25/2021
95734,640329300,,WILLIAM CAREY UNIVERSITY,84,3/25/2021
96882,660177776,,"UNIVERSIDAD INTERAMERICANA DE PUERTO RICO, INC.",84,3/25/2021
96890,660201206,,SISTEMA UNIVERSITARIO ANA G MENDEZ,84,3/25/2021
97663,710236856,,BAPTIST HEALTH,84,10/3/2022
98449,720408946,,LOYOLA UNIVERSITY NEW ORLEANS,84,3/25/2021
98491,720423889,,THE ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND,84,3/25/2021
98680,720635884,,XAVIER UNIVERSITY OF LOUISIANA,84,3/25/2021
99762,730579298,,THE UNIVERSITY OF TULSA,84,4/12/2022
99942,730739626,,ORAL ROBERTS UNIVERSITY,84,3/25/2021
101129,741109661,,UNIVERSITY OF THE INCARNATE WORD,84,3/25/2021
101232,741159753,,BAYLOR UNIVERSITY,84,3/25/2021
102318,742094204,,"TEXAS GUARANTEED STUDENT LOAN CORPORATION, DBA TRELLIS COMPANY",84,3/25/2021
102323,742099402,,"BRAZOS HIGHER EDUCATION AUTHORITY, INC.",84,3/25/2021
104198,750800689,,SOUTHERN METHODIST UNIVERSITY,84,3/25/2021
104248,750827465,,TEXAS CHRISTIAN UNIVERSITY,84,3/25/2021
104277,750851900,,ABILENE CHRISTIAN UNIVERSITY,84,8/24/2021
105010,751596658,,PARKER UNIVERSITY,84,3/25/2021
109213,840402707,,REGIS UNIVERSITY,84,3/25/2021
109221,840404231,,UNIVERSITY OF DENVER (COLORADO SEMINARY),84,3/25/2021
109321,840442429,,COLORADO CHRISTIAN UNIVERSITY AND CCU ENDOWMENT FOUNDATION,84,3/25/2021
111084,850291313,,NEW MEXICO EDUCATIONAL ASSISTANCE FOUNDATION,84,5/2/2022
111571,472507725,,GRAND CANYON UNIVERSITY,84,3/25/2021
113416,910236600,,THE CORPORATION OF GONZAGA UNIVERSITY,84,3/25/2021
113680,910565006,,SEATTLE UNIVERSITY,84,3/25/2021
116380,930386858,,LEWIS & CLARK COLLEGE,84,3/25/2021
116391,930386892,,PACIFIC UNIVERSITY,84,3/25/2021
116417,930391563,,CONCORDIA UNIVERSITY,84,3/25/2021
117072,930575187,,PORTLAND COMMUNITY COLLEGE,84,3/25/2021
118294,941156266,,UNIVERSITY OF THE PACIFIC,84,3/25/2021
118364,941156617,,SANTA CLARA UNIVERSITY,84,3/25/2021
118369,941156628,,UNIVERSITY OF SAN FRANCISCO,84,3/25/2021
120730,942788907,,SUTTER HEALTH AND AFFILIATES,84,3/25/2021
123150,950948050,K91FAN8WHBM9,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,84,2/20/2023
123265,951246140,EVHMJGKEXNH8,SOUTHWESTERN LAW SCHOOL,84,12/21/2022
123466,951642394,,UNIVERSITY OF SOUTHERN CALIFORNIA,84,3/25/2021
123503,951643389,,UNIVERSITY OF REDLANDS,84,3/25/2021
123517,951643992,,CHAPMAN UNIVERSITY AND AFFILIATES,84,3/25/2021
123525,951644026,,UNIVERSITY OF LA VERNE,84,3/25/2021
123802,951744369,,AZUSA PACIFIC UNIVERSITY AND SUBSIDIARY,84,3/25/2021
123893,951816009,,LOMA LINDA UNIVERSITY,84,3/25/2021
123976,951890710,,CALIFORNIA BAPTIST UNIVERSITY,84,3/25/2021
124616,952544535,,UNIVERSITY OF SAN DIEGO,84,3/25/2021
125231,953127273,,WESTERN UNIVERSITY OF HEALTH SCIENCES,84,3/25/2021
128842,636000724,,AUBURN UNIVERSITY,84,3/25/2021
128910,636001099,,JACKSONVILLE STATE UNIVERSITY,84,3/25/2021
128921,636001100,,THE UNIVERSITY OF WEST ALABAMA,84,3/25/2021
128977,636001102,,TROY UNIVERSITY,84,3/25/2021
128979,630520830,,THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,84,3/25/2021
128985,636000893,,UNIVERSITY OF NORTH ALABAMA,84,3/2/2022
128986,630477348,,UNIVERSITY OF SOUTH ALABAMA,84,3/25/2021
129020,636001138,,THE UNIVERSITY OF ALABAMA,84,3/25/2021
129643,636000750,DMHNANKDJPB7,BALDWIN COUNTY BOARD OF EDUCATION,84,6/26/2023
129709,636000945,,JEFFERSON COUNTY BOARD OF EDUCATION,84,8/19/2022
129727,636000813,,HUNTSVILLE CITY BOARD OF EDUCATION,84,7/1/2022
129738,636000774,,MOBILE COUNTY BOARD OF SCHOOL COMMISSIONERS,84,3/25/2021
129740,636000997,,MONTGOMERY COUNTY BOARD OF EDUCATION,84,5/27/2022
129795,920056756,VS2WT8MAJ688,LOWER KUSKOKWIM SCHOOL DISTRICT,84,11/8/2022
129822,926000034,TB8KBAUF7N68,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,84,12/1/2022
130410,866000510,MFFQJLG4KY23,ALHAMBRA ELEMENTARY SCHOOL DISTRICT NO. 68,84,2/6/2023
130416,866000517,,CARTWRIGHT ELEMENTARY SCHOOL DISTRICT NO. 83,84,2/24/2022
130418,866000515,,CHANDLER UNIFIED SCHOOL DISTRICT NO. 80,84,12/29/2021
130434,866000481,,MESA UNIFIED SCHOOL DISTRICT NO. 4,84,3/25/2021
130442,866000488,QF5ELNJFBVS3,PEORIA UNIFIED SCHOOL DISTRICT NO. 11,84,1/19/2023
130444,866000534,,PHOENIX UNION HIGH SCHOOL DISTRICT NO. 210,84,4/21/2022
130461,866004178,LQQ4SRYSCKM1,DEER VALLEY UNIFIED SCHOOL DISTRICT NO. 97,84,2/8/2023
130463,860185552,,MARICOPA COUNTY COMMUNITY COLLEGE DISTRICT,84,3/25/2021
130498,866000792,TKBSF37VK8J8,SUNNYSIDE UNIFIED SCHOOL DISTRICT NO. 12,84,3/30/2023
130501,866000551,,TUCSON UNIFIED SCHOOL DISTRICT NO. 1,84,3/25/2021
130503,860208787,,PIMA COUNTY COMMUNITY COLLEGE DISTRICT,84,3/25/2021
131710,716014717,,LITTLE ROCK SCHOOL DISTRICT,84,5/10/2022
131767,716021364,Y1GUR2JJCH18,SPRINGDALE SCHOOL DISTRICT # 50,84,4/3/2023
131807,912155587,,CALIFORNIA STATE UNIVERSITY,84,3/25/2021
131825,942317114,VZ9VH8SQVRN9,EL DORADO COUNTY OFFICE OF EDUCATION,84,3/1/2023
131879,956000935,,SAN DIEGO COUNTY OFFICE OF EDUCATION,84,3/25/2021
131912,942191905,,TULARE COUNTY OFFICE OF EDUCATION,84,3/25/2021
