"Assistance Listings Number","Title","Types of Assistance","Department/Ind. Agency","Sub-Tier","Related Federal Assistance","Last Date Modified","Date Published","Funded","POC Information"
"14.870","Resident Opportunity and Supportive Services - Service Coordinators","B - Project Grants","HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF","ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING","N/A","Nov 18, 2024","Nov 18, 2024","true","Michael Simmons
451 7th Street, SW, Washington DC 20410
202-402-0000
"
"66.614","Financial Assistance For Community Support Activities To Address Environmental Justice Issues","B - Cooperative Agreements (Discretionary Grants)","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 18, 2024","Nov 18, 2024","true","Piyachat Terrell, Program Analyst
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W., Washington DC 20460
202-527-4545
"
"20.328","Interstate Rail Compacts","B - Project Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL RAILROAD ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","true","Mariam Ouhamou
Acting Chief, Grants & Program Management Division, Office of Infrastructure Investment
1200 New Jersey Ave SE, Washington DC 20590
(202) 493-6437
"
"93.796","State Survey Certification of Health Care Providers and Suppliers (Title XIX) Medicaid","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR MEDICARE AND MEDICAID SERVICES","N/A","Nov 18, 2024","Nov 18, 2024","true","David Wright
7500 Security Blvd, Baltimore MD 21244
410-786-9493
"
"20.323","Fiscal Year 2013 Hurricane Sandy Disaster Relief Grants to the National Railroad Passenger Corporation","B - Project Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL RAILROAD ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","false","Mariam Ouhamou
Acting Chief, Grant & Loan Program Development Division, 
Office of Rail Program Development 
1200 New Jersey Ave SE, Washington DC 20590
(202) 493-6437
"
"93.777","State Survey and Certification of Health Care Providers and Suppliers (Title XVIII) Medicare","C - Direct Payments for Specified Use","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR MEDICARE AND MEDICAID SERVICES","93.778, 93.774, 93.773","Nov 18, 2024","Nov 18, 2024","true","David Wright
7500 Security Blvd, Baltimore MD 21244
410786-9493
"
"20.530","Public Transportation Innovation","B - Project Grants (Cooperative Agreements or Contracts)","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","20.514","Nov 18, 2024","Nov 18, 2024","true","Lisa Colbert
1200 New Jersey Ave., S.E.
Federal Transit Administration 
Office of Research, Demonstration and Innovation
TRI-30;, Washington DC 20590
(202) 366-9261
"
"16.739","National Prison Rape Statistics Program","B - Cooperative Agreements","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","16.735","Nov 18, 2024","Nov 18, 2024","true","Amy D. Lauger
Office of Justice Programs
Bureau of Justice Statistics
810 7th Street, NW, Washington DC 20531
202-307-0765
"
"20.528","Rail Fixed Guideway Public Transportation System State Safety Oversight Formula Grant Program","A - Formula Grants (Apportionments)","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","true","Maria Wright 
1200 New Jersey Avenue, SE, Washington DC 20590
(202) 366-5922
"
"93.774","Medicare Supplementary Medical Insurance","G - Insurance","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR MEDICARE AND MEDICAID SERVICES","93.778, 64.012, 64.013, 96.001, 93.770, 93.773, 57.001","Nov 18, 2024","Nov 18, 2024","true","Gary Davis 
7500 Security Blvd, Baltimore MD 21244
4107861000
"
"93.773","Medicare Hospital Insurance","G - Insurance","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR MEDICARE AND MEDICAID SERVICES","96.001, 93.774, 93.770, 57.001","Nov 18, 2024","Nov 18, 2024","true","Linda Mitchell
7500 Security Boulevard, Baltimore MD 21244
4107865457
"
"20.509","Formula Grants for Rural Areas and Tribal Transit Program","A - Formula Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","20.516, 20.507, 20.513, 20.521","Nov 18, 2024","Nov 18, 2024","true","Matt Lange, Office of Program Management
1200 New Jersey Avenue, SE., Washington DC 20590
(202) 366-2053
"
"93.384","ADVANCED RESEARCH PROJECTS AGENCY for HEALTH (ARPA-H)","B - Project Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","NATIONAL INSTITUTES OF HEALTH","N/A","Nov 18, 2024","Nov 18, 2024","false","Elizabeth Fuller
1301 K Street NW
Suite 1200, Washington DC 20005
2407531172
"
"20.320","Rail Line Relocation and Improvement","B - Project Grants (Cooperative Agreements)","TRANSPORTATION, DEPARTMENT OF","FEDERAL RAILROAD ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","false","Mariam Ouhamou
Acting Chief, Grant & Loan Program Development Division, 
Office of Rail Program Development 
1200 New Jersey Ave SE, Washington DC 20590
(202) 493-6437
"
"20.500","Federal Transit Capital Investment Grants","B - Project Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","20.507, 20.505","Nov 18, 2024","Nov 18, 2024","true","Susan Eddy
1200 New Jersey Avenue, S.E., Washington DC 20590
(202) 366-5499
"
"20.524","Passenger Rail Investment and Improvement (PRIIA)  Projects for Washington Metropolitan Area Transit Authority (WMATA)","B - Project Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","true","Kevin Osborn
1200 New Jersey Avenue, S.E.,, Washington DC 20590
202-366-7519
"
"21.006","Tax Counseling for the Elderly","B - Cooperative Agreements (Discretionary Grants)","TREASURY, DEPARTMENT OF THE","INTERNAL REVENUE SERVICE","N/A","Nov 18, 2024","Nov 18, 2024","true","Grant Program Office - TCE
Internal Revenue Service
TCE Grant Program Office, Atlanta GA 30308
470-639-2935
"
"20.526","Buses and Bus Facilities Formula, Competitive, and Low or No Emissions Programs","A - Formula Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","20.507, 20.513, 20.205, 20.509, 20.505","Nov 18, 2024","Nov 18, 2024","true","Kirsten Wiard-Bauer
1200 New Jersey Ave SE, Washington DC 20590
202-366-7052
"
"20.933","National Infrastructure Investments","B - Project Grants (Discretionary)","TRANSPORTATION, DEPARTMENT OF","OFFICE OF THE SECRETARY","N/A","Nov 18, 2024","Nov 18, 2024","true","Howard Hill
1200 New Jersey Avenue, SE, Washington DC 20590
(202) 366-0301
"
"20.534","Community Project Funding Congressionally Directed Spending","B - Project Grants (Discretionary)","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","true","Nichole Neal
1200 New Jersey Ave, SE, Washington DC 20590
202-366-7865
"
"20.532","Passenger Ferry Grant Program, Electric or Low-Emitting Ferry Pilot Program, and Ferry Service for Rural Communities Program","B - Project Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","true","Vanessa Williams
1200 New Jersey Avenue, SE.
, Washington DC 20590
2023664818
"
"16.550","State Justice Statistics Program for Statistical Analysis Centers","B - Cooperative Agreements","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","16.734","Nov 18, 2024","Nov 18, 2024","true","Stephanie L. Burroughs 
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Statistics
999 North Capitol Street, NE, Washington DC 20002
(202) 307-0765
"
"20.533","All Stations Accessibility Program","B - Project Grants (Discretionary)","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","true","Ciara Williams
1200 New Jersey Avenue, S.E.,, Washington DC 20590
(202) 366-8954
"
"84.417","Directed Grants and Awards","C - Direct Payments for Specified Use","EDUCATION, DEPARTMENT OF","","N/A","Nov 18, 2024","Nov 18, 2024","true","James Selby
Rm 5A151
400 Maryland Ave., SW, Washington DC 20202
202-435-6135
"
"20.936","Transportation Demonstration Program","B - Project Grants (Discretionary)","TRANSPORTATION, DEPARTMENT OF","OFFICE OF THE SECRETARY","N/A","Nov 18, 2024","Nov 18, 2024","true","John Augustine
1200 New Jersey Avenue SE, Washington DC 20590
2023665437
"
"16.554","National Criminal History Improvement Program (NCHIP)","B - Project Grants (Discretionary)","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","16.813","Nov 18, 2024","Nov 18, 2024","true","Stephanie L. Burroughs
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Statistics
999 North Capitol Street, NE, Washington DC 20002
(202) 307-0765
"
"21.009","Volunteer Income Tax Assistance (VITA) Matching Grant Program","B - Project Grants (Discretionary)","TREASURY, DEPARTMENT OF THE","INTERNAL REVENUE SERVICE","N/A","Nov 18, 2024","Nov 18, 2024","true","Grant Program Office
401 West Peachtree Street, NW, Stop 420-D , Atlanta GA 30308
470-639-2935
"
"20.513","Enhanced Mobility of Seniors and Individuals with Disabilities","A - Formula Grants (Cooperative Agreements)","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","true","Destiny Buchanan
1200 New Jersey Ave. SE , Washington DC 20590
(202) 493-8018
"
"20.313","Railroad Research and Development","B - Cooperative Agreements","TRANSPORTATION, DEPARTMENT OF","FEDERAL RAILROAD ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","true","Mariam Ouhamou
Acting Chief, Grant & Loan Program Development Division, 
Office of Rail Program Development 
1200 New Jersey Ave SE, Washington DC 20590
(202) 493-6437
"
"20.325","Consolidated Rail Infrastructure and Safety Improvements","B - Project Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL RAILROAD ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","true","Mariam Ouhamou
Acting Chief, Grant & Loan Program Development Division, 
Office of Rail Program Development 
1200 New Jersey Ave SE, Washington DC 20590
(202) 493-6437
"
"16.734","Special Data Collections and Statistical Studies","B - Cooperative Agreements","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","N/A","Nov 18, 2024","Nov 18, 2024","true","Allina Lee
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Statistics
810 7th Street, NW, Washington DC 20531
202-307-0765
"
"20.525","State of Good Repair Grants Program","A - Formula Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","20.500","Nov 18, 2024","Nov 18, 2024","true","Ciara Williams
1200 New Jersey Avenue, S.E., , Washington DC 20590
(202) 366-8954
"
"20.317","Capital Assistance to States - Intercity Passenger Rail Service","B - Project Grants (Cooperative Agreements)","TRANSPORTATION, DEPARTMENT OF","FEDERAL RAILROAD ADMINISTRATION","20.319","Nov 18, 2024","Nov 18, 2024","false","Mariam Ouhamou
Acting Chief, Grant & Loan Program Development Division, 
Office of Rail Program Development 
1200 New Jersey Ave S.E., Washington DC 20590
(202) 493-6437
"
"20.507","Federal Transit Formula Grants","A - Formula Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","20.205, 20.509, 20.505","Nov 18, 2024","Nov 18, 2024","true","Bret Martin
1200 New Jersey Avenue, SE, Washington DC 20590
(202) 366-0870
"
"20.531","Technical Assistance and Workforce Development","B - Project Grants (Cooperative Agreements or Contracts)","TRANSPORTATION, DEPARTMENT OF","FEDERAL TRANSIT ADMINISTRATION","20.514","Nov 18, 2024","Nov 18, 2024","true","Betty Jackson, Senior Transportation Program Specialist (Workforce)
1200 New Jersey Ave, S.E.,
FTA, Office of Research, Management, Demonstration, and Outreach (TRI-30), 
East Building, 4th Floor - Room E43-425, Washington DC 20590
(202) 366-1730
"
"93.968","States Advancing All-Payer Health Equity Approaches and Development (AHEAD) Model","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR MEDICARE AND MEDICAID SERVICES","N/A","Nov 18, 2024","Nov 18, 2024","true","Katherine J. Sapra, PhD, MPH
7500 Security Blvd., Baltimore MD 21244
410.746.0228
"
"20.314","Railroad Development","B - Project Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL RAILROAD ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","true","Mariam Ouhamou
Acting Chief, Grant & Loan Program Development Division, 
Office of Rail Program Development 
1200 New Jersey Ave SE, Washington DC 20590
(202) 493-6437
"
"16.813","NICS Act Record Improvement Program","B - Cooperative Agreements","JUSTICE, DEPARTMENT OF","OFFICE OF JUSTICE PROGRAMS","16.554","Nov 18, 2024","Nov 18, 2024","true","Stephanie L. Burroughs
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Statistics
999 North Capitol Street, NW, Washington DC 20002
(202) 307-0765
"
"20.326","Federal-State Partnership for Intercity Passenger Rail","B - Project Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL RAILROAD ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","true","Mariam Ouhamou
Acting Chief, Grant & Loan Program Development Division, 
Office of Rail Program Development 
1200 New Jersey Ave SE, Washington DC 20590
(202) 493-6437
"
"20.301","Railroad Safety","B - Project Grants","TRANSPORTATION, DEPARTMENT OF","FEDERAL RAILROAD ADMINISTRATION","N/A","Nov 18, 2024","Nov 18, 2024","true","Mariam Ouhamou
Acting Chief, Grant & Loan Program Development Division, 
Office of Rail Program Development 
1200 New Jersey Ave SE, Washington DC 20590
(202) 493-6437
"
"11.459","Weather and Air Quality Research","B - Cooperative Agreements","COMMERCE, DEPARTMENT OF","NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION","11.431, 11.432","Nov 18, 2024","Nov 18, 2024","true","Bruce T. Gibbs
1315 East-West Highway, Silver Spring MD 20910
(301) 734-1134
"
"66.306","Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program","B - Cooperative Agreements (Discretionary Grants)","ENVIRONMENTAL PROTECTION AGENCY","","66.309, 66.604, 66.309","Nov 15, 2024","Nov 15, 2024","true","Vanessa Simms, Program Manager, Grants Management Division
U.S. Environmental Protection Agency, Office of Environmental Justice and External Civil Rights, 1200 Pennsylvania Avenue, N.W. (Mail Code: 2202A), Washington DC 20460
202-564-0299
"
"81.210","Global Material Security","B - Project Grants (for specified projects)","ENERGY, DEPARTMENT OF","","N/A","Nov 15, 2024","Nov 15, 2024","true","Debra Moone
1000 Independence Avenue, SW, Washington DC 20585
2029248119
"
"66.305","Compliance Assistance Support for Services to the Regulated Community and Other Assistance Providers","B - Cooperative Agreements (Discretionary Grants)","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 15, 2024","Nov 15, 2024","true","Matthew Cooke
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 2221A), Washington DC 20460
202-564-2472
"
"66.313","International Compliance and Enforcement Projects","B - Project Grants (Discretionary)","ENVIRONMENTAL PROTECTION AGENCY","","66.931","Nov 15, 2024","Nov 15, 2024","true","Matthew Cooke
Environmental Protection Agency, Office of Enforcement and Compliance Assurance, 1200 Pennsylvania Avenue, N. W.  (Mail Code: 7601M), Washington DC 20460
202-564-2472
"
"66.484","Geographic Programs - South Florida Geographic Initiatives Program","B - Project Grants (Discretionary)","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 15, 2024","Nov 15, 2024","true","Jennifer Shadle
USEPA Region 4, Sam Nunn Atlanta Federal Center, 61 Forsyth Street, S.W.( WD/GINPSB/WGAS), Atlanta GA 30303
404-562-9436
"
"66.610","Surveys, Studies, Investigations and Special Purpose Grants within the Office of the Administrator","B - Project Grants (Discretionary)","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 15, 2024","Nov 15, 2024","true","Daniel Murphy
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W. (Mail Code: 1301A), Washington DC 20460
301-832-1044
"
"66.469","Geographic Programs - Great Lakes Restoration Initiative","B - Cooperative Agreements (Discretionary Grants)","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 15, 2024","Nov 15, 2024","true","Nicholas Elliott
USEPA,  Great Lakes National Program Office (G-9J), 77 West Jackson Boulevard, Chicago IL 60604
312-886-3020
"
"66.605","Performance Partnership Grants","A - Formula Grants","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 15, 2024","Nov 15, 2024","true","Melissa Saddler
Environmental Protection Agency, 1200 Pennsylvania Avenue, N.W., Washington DC 20460
202-302-9351
"
"66.466","Geographic Programs - Chesapeake Bay Program","B - Project Grants (Discretionary)","ENVIRONMENTAL PROTECTION AGENCY","","66.460, 66.454","Nov 15, 2024","Nov 15, 2024","true","Autumn Rose
EPA Chesapeake Bay Program Office, 1750 Forest Drive, Suite 130, Annapolis MD 21401
410-267-5765
"
"66.962","Geographic Programs - Columbia River Basin Restoration (CRBR) Program","B - Project Grants (Discretionary)","ENVIRONMENTAL PROTECTION AGENCY","","N/A","Nov 15, 2024","Nov 15, 2024","true","Peter Murchie
U.S. Environmental Protection Agency, 1200 Sixth Avenue, Seattle WA 98101
(206) 553-0804
"
"81.124","Predictive Science Academic Alliance Program","B - Project Grants (Cooperative Agreements)","ENERGY, DEPARTMENT OF","","N/A","Nov 15, 2024","Nov 15, 2024","true","David N. Etim
James V. Forrestal Building
1000 Independence Avenue SW, Washington DC 20585
2025868081
"
"93.478","Preventing Maternal Deaths: Supporting Maternal Mortality Review Committees","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","N/A","Nov 15, 2024","Nov 15, 2024","false","Sheryl Heard
4770 Buford Highway, NE, Atlanta GA 30341
770-488-2855
"
"93.834","Capacity Building Assistance (CBA) for High-Impact HIV Prevention","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.977, 93.118, 93.116, 93.135, 93.947","Nov 15, 2024","Nov 15, 2024","true","Arin Williams
1600 Clifton Road, MS E-07, Atlanta GA 30329
4046398432
"
"93.940","HIV Prevention Activities Health Department Based","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.283, 93.118, 93.991","Nov 15, 2024","Nov 15, 2024","true","Arin Williams
1600 Clifton Road, MS E-07, Atlanta GA 30029
4046398432
"
"93.998","Autism and Other Developmental Disabilities, Surveillance, Research, and Prevention","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","N/A","Nov 15, 2024","Nov 15, 2024","true","Bruce Heath
4770 Buford Hwy., MS-E86, Atlanta GA 30341
404-639-1938
"
"93.898","Cancer Prevention and Control Programs for State, Territorial and Tribal Organizations","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.283, 93.919","Nov 15, 2024","Nov 15, 2024","true","Sheryl Heard
4770 Buford Hwy, NE, Atlanta GA 30341
770 488 2855
"
"93.860","Emerging Infections Sentinel Networks","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.283","Nov 15, 2024","Nov 15, 2024","true","Yarnell Martin
1600 Clifton Road
MS:  C8-1, Atlanta GA 30329
4047188842
"
"93.939","HIV Prevention Activities Non-Governmental Organization Based","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.977, 93.118, 93.116, 93.135, 93.947","Nov 15, 2024","Nov 15, 2024","true","Nicolas Rankin
1600 Clifton Road, MS E-07, Atlanta GA 30329
4044980226
"
"93.456","CDC Undergraduate Public Health Scholars Program (CUPS): A Public Health Experience to Expose Undergraduates Interested in Minority Health to Public Health and the Public Health Professions","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","N/A","Nov 15, 2024","Nov 15, 2024","true","Carolina Luna Pinto 
2877 BLDG MS TW-3, Atlanta GA 30341
7873788644
"
"93.494","Global Tuberculosis:Developing,Evaluating,Implementing Evidence-based and Innovative Approaches to Find, Cure, and Prevent Tuberculosis Globally","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","N/A","Nov 15, 2024","Nov 15, 2024","true","Lata Kumar
1600 Clifton Rd. NE
Bldg 21/9202, Atlanta GA 30333
404-639-7618
"
"93.943","Epidemiologic Research Studies of Acquired Immunodeficiency Syndrome (AIDS) and Human Immunodeficiency Virus (HIV) Infection in Selected Population Groups","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.118","Nov 15, 2024","Nov 15, 2024","true","Arin Williams
1600 Clifton Road, MS H-24-6, Atlanta GA 30333
4046398432
"
"93.945","Assistance Programs for Chronic Disease Prevention and Control","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","N/A","Nov 15, 2024","Nov 15, 2024","true","Sheryl Heard
4770 Buford Highway, Atlanta GA 30341
(770) 488- 2855
"
"93.946","Cooperative Agreements to Support State-Based Safe Motherhood and Infant Health Initiative Programs","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.994","Nov 15, 2024","Nov 15, 2024","true","Sheryl Heard 
4770 Buford Highway, NE, Atlanta GA 30341
(770) 488-2855
"
"93.118","Acquired Immunodeficiency Syndrome (AIDS) Activity","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.283","Nov 15, 2024","Nov 15, 2024","true","Nicolas Rankin
1600 Clifton Road, Mail Stop E-07
, Atlanta GA 30333
4044980226
"
"93.184","Disabilities Prevention","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","64.109, 93.988, 93.667, 93.135, 10.551, 96.001, 93.136, 64.116","Nov 15, 2024","Nov 15, 2024","true","Shelia Jones
4770 Buford Hwy, 4th Floor, Chamblee GA 30341
404.498.3995
"
"93.315","Rare Disorders: Research, Surveillance, Health Promotion, and Education","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","N/A","Nov 15, 2024","Nov 15, 2024","true","Shelia Jones
1600 Clifton Rd, Atlanta GA 30043
3
"
"93.391","Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.354","Nov 15, 2024","Nov 15, 2024","false","Caroline Gardner
2400 Century Center Parkway
Mail Stop V-24-6, Atlanta GA 30345
4046394276
"
"93.317","Emerging Infections Programs","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.283, 93.521","Nov 15, 2024","Nov 15, 2024","true","Rainy Henry
1600 Clifton Road NE, MS-C18, Atlanta GA 30329
404-639-6146
"
"93.376","Title: Multiple Approaches to Support Young Breast Cancer Survivors and Metastatic Breast Cancer Patients","B - Cooperative Agreements (Discretionary Grants)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","N/A","Nov 15, 2024","Nov 15, 2024","true","Sheryl Heard
Centers for Disease Prevention and Control (CDC),
Division of Cancer Prevention and Control (DCPC), National Center for Chronic Disease Prevention and Health Promotion (NCCDPHP), Atlanta GA 30341
770-488-2855
"
"93.823","Public Health Response, Forecasting, and Analytic Capacities Related to Disease Outbreaks, Epidemics, and Pandemics","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","N/A","Nov 15, 2024","Nov 15, 2024","true","Saraine Ross
1600 Clifton Road NE  , Atlanta GA 30329
4047184888
"
"93.874","Strengthening the Public Health System in US-affiliated Pacific Islands","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.097, 93.524, 93.424","Nov 15, 2024","Nov 15, 2024","true","Caroline Gardner
2400 Century Center Parkway
Mail Stop V-24-6, Atlanta GA 30345
4046394276
"
"93.941","HIV Demonstration, Research, Public and Professional Education Projects","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.283, 93.991","Nov 15, 2024","Nov 15, 2024","true","Nicolas Rankin
1600 Clifton Road, MS H-24-6, Atlanta GA 30329
4044980226
"
"93.947","Tuberculosis Demonstration, Research, Public and Professional Education","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.283, 93.991","Nov 15, 2024","Nov 15, 2024","true","Yvette Valentine
1600 Clifton Rd. NE Mail stop H21-9, Atlanta GA 30096
4046394469
"
"93.944","Human Immunodeficiency Virus (HIV)/Acquired Immunodeficiency Virus Syndrome (AIDS) Surveillance","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR DISEASE CONTROL AND PREVENTION","93.283","Nov 15, 2024","Nov 15, 2024","true","Nicolas Rankin
1600 Clifton Road, MS E-07, Atlanta GA 30329
4044980226
"
"93.235","Title V State Sexual Risk Avoidance Education (Title V State SRAE) Program","A - Formula Grants","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","N/A","Nov 15, 2024","Nov 15, 2024","true","Mousumi Banikya, Director
330 C Street, SW, Washington DC 20201
202-619-1066
"
"93.332","Cooperative Agreement to Support Navigators in Federally-facilitated Exchanges","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","CENTERS FOR MEDICARE AND MEDICAID SERVICES","N/A","Nov 15, 2024","Nov 15, 2024","true","Christopher Clark
7501 Wisconsin Avenue, Bethesda MD 20814
301-492-4319
"
"93.583","Refugee and Entrant Assistance Wilson/Fish Program","B - Cooperative Agreements","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","N/A","Nov 15, 2024","Nov 15, 2024","true","Carl Rubenstein, Director, Division of Refugee Assistance
Mary E. Switzer Building
330 C Street SW, 5th Floor West, Washington DC 20201
2022055933
"
"93.604","Assistance for Torture Victims","B - Project Grants (Cooperative Agreements)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF","ADMINISTRATION FOR CHILDREN AND FAMILIES","93.576, 93.566","Nov 15, 2024","Nov 15, 2024","true","Dr. Margaret Brewinski-Isaacs, Director, Division of Refugee Health
Mary E. Switzer Building
330 C Street, SW, Washington DC 20201
(202) 821-9594
"
