Program Number,Program Title,Types of Assistance,Department/Ind. Agency,Sub-Tier,Related Federal Assistance,Last Date Modified,Date Published,Funded,POC Information
93.622,Coordinating Center for Interprofessional Education and Collaborative Practice,B - Cooperative Agreements,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Jul 17, 2018","Aug 11, 2017",False,"Kasey Farrell, MS, HRSA, Bureau of Health Workforce, Division of Nursing and Public Health
5600 Fishers Lane Room 11N-110,, Rockville  MD 20857
301-443-0188
"
93.514,Affordable Care Act (ACA) Expansion of Physician Assistant Training Program,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Jul 17, 2018","Aug 11, 2017",False,"Anne Patterson, Project Officer, Medical Training and Geriatrics Branch, Division of Medicine and Dentistry, Bureau of Health Workforce
5600 Fishers Lane, Rockville MD 20857
(301) 443-6822 
"
93.513,Affordable Care Act (ACA) Advanced Nursing Education Expansion Initiative,B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Jul 17, 2018","Aug 25, 2017",False,"Kristen Hansen
5600 Fishers Lane, Room 11N100, , Rockville  MD 20857
301-443-2796
"
93.265,Comprehensive Geriatric Education Program (CGEP),B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Jul 17, 2018","Aug 25, 2017",False,"Nancy Douglas-Kersellius, MSN, Project Officer, Medical Training and Geriatrics Branch, Division of Medicine and Dentistry, Bureau of Health Workforce
5600 Fishers Lane, Room 15N124A,, Rockville  MD 20857
(301) 443-0907
"
93.156,"Geriatric Training for Physicians, Dentists and Behavioral/Mental Health Professionals",B - Project Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,,"Jul 17, 2018","Aug 2, 2017",False,"Nancy Douglas-Kersellius, MSN, Project Officer, Medical Training and Geriatrics Branch, Division of Medicine and Dentistry, Bureau of Health Workforce,
5600 Fishers Lane, Room 15N194B, Rockville MD 20857
(301) 443-0907
"
11.019,State Alternative Plan Program,B - Project Grants,"COMMERCE, DEPARTMENT OF",NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,,"Jul 17, 2018","Jul 8, 2017",False,"Carolyn Dunn
1401 Constitution Avenue., NW, Rm 7324, Washington DC 20230
202-482-4103
"
93.267,State Grants for Protection and Advocacy Services,A - Formula Grants,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",HEALTH RESOURCES AND SERVICES ADMINISTRATION,93.234,"Jul 17, 2018","Aug 25, 2017",False,"Christina M. Turgel 
5600 Fishers Lane, Rockville  MD 20857
3014435599
"
93.750,PPHF Cooperative Agreement to Support Navigators in Federally-facilitated and State Partnership Exchanges,B - Cooperative Agreements,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",CENTERS FOR MEDICARE AND MEDICAID SERVICES,,"Jul 11, 2018","Jun 3, 2017",False,"MIchelle Feagins
200 Independence Ave., S.W., Washington DC 20201
1-301-492-4312
"
15.534,"Miscellaneous Public Law 93-638 Contracts, Grants, and Cooperative Agreements",B - Cooperative Agreements (Discretionary Grants),"INTERIOR, DEPARTMENT OF THE",BUREAU OF RECLAMATION,,"Jul 2, 2018","Jun 28, 2017",False,"Commissioner, 
Office of the Commissioner, Bureau of Reclamation, 1849 C Street, N.W., Washington DC 20240-0001
(202) 513-0501.
"
15.551,Madera Water Supply Enhancement,B - Cooperative Agreements,"INTERIOR, DEPARTMENT OF THE",BUREAU OF RECLAMATION,,"Jun 28, 2018","Jun 29, 2017",False,"Chief
U.S. Bureau of Reclamation, 2800 Cottage Way
 , Sacramento CA 95825 
(916) 978-5148  
"
15.549,Integrated Regional Water Plan for the Central Valley of California,B - Project Grants,"INTERIOR, DEPARTMENT OF THE",BUREAU OF RECLAMATION,,"Jun 28, 2018","Jun 29, 2017",False,"Land Management Division
U.S. Bureau of Reclamation 
1243 ""N"" Street , Fresno CA 93721 
(559) 487-5049
"
93.254,Infant Adoption Awareness Training,B - Project Grants (Discretionary),"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",ADMINISTRATION FOR CHILDREN AND FAMILIES,,"Jun 22, 2018","Aug 27, 2017",False,"Jan Shafer
330 C Street SW Room 3503, Washington DC 20447
(202) 205-8172
"
15.949,National Fire Plan - Rural Fire Assistance,B - Cooperative Agreements (Discretionary Grants),"INTERIOR, DEPARTMENT OF THE",NATIONAL PARK SERVICE,15.228,"May 17, 2018","Sep 6, 2017",False,"Jeff Scott
National Park Service, National Interagency Fire Center, 3833 S. Development Ave, Boise ID 83705
(208) 387-5206
"
15.562,Dixie Valley Water Export Study,B - Cooperative Agreements,"INTERIOR, DEPARTMENT OF THE",BUREAU OF RECLAMATION,,"May 4, 2018","Jun 29, 2017",False,"Director
Bureau of Reclamation, Financial Assistance Services 84-27850, P.O. Box 25007, Denver Federal Center, Denver CO 80225
000-000-0000
"
15.561,Savage Rapids Pumping Plant,B - Project Grants,"INTERIOR, DEPARTMENT OF THE",BUREAU OF RECLAMATION,,"May 4, 2018","Jun 29, 2017",False,"Bob Hamilton
Pacific Northwest Regional Office
1150 N. Curtis Road, Boise ID 83706  
(208)378-5087
"
15.809,National Spatial Data Infrastructure Cooperative Agreements,B - Cooperative Agreements (Discretionary Grants),"INTERIOR, DEPARTMENT OF THE",U.S. Geological Survey,,"Jan 4, 2018","Sep 14, 2017",False,"Director,
Department of the Interior, Geological Survey, Federal Geographic Data Committee Secretariat, MS 590 National Center, 12201 Sunrise Valley Drive, Reston VA 20192
(703) 648-4150
"
16.730,Reduction and Prevention of Children's Exposure to Violence,B - Cooperative Agreements,"JUSTICE, DEPARTMENT OF",Office of Juvenile Justice and Delinquency Prevention,,"Nov 8, 2017","Sep 16, 2017",False,"Office of Justice Programs 
U.S. Department of Justice
Office of Justice Programs
Office of Juvenile Justice and Delinquency Prevention
810 7th Street, NW, Washington DC 20531
(202) 307-9963 
"
66.954,Tribal ecoAmbassadors,B - Project Grants,ENVIRONMENTAL PROTECTION AGENCY,,,"Oct 24, 2017","Sep 19, 2016",False,"Rosalva Tapia
1200 Pennsylvania Ave, N.W. (M.C. 2690R



www.epa.gov/tribal/tribal-ecoambassadors-program  

 
, Washington DC 20460
202-564-5197 
"
15.850,Indian Arts and Crafts Development,Z - Salaries and Expenses,"INTERIOR, DEPARTMENT OF THE",INDIAN ARTS AND CRAFTS BOARD,11.800,"Sep 12, 2017","Nov 5, 2008",False,"Director, Indian Arts and Crafts Board, Room 4004-Main Interior Building, Washington, DC 20240. Contact: Meridith Z. Stanton, Director. Telephone:  (202) 208-3773.  Use the same number for FTS. , 

"
16.200,Community Relations Service,Z - Salaries and Expenses,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS",,"Sep 12, 2017","Sep 23, 2012",False,"O.Ben Lieu
Community Relations Service
600 E Street, NW
Suite 6000, Washington DC 20520
202-305-2935
"
16.109,Civil Rights Prosecution,Z - Salaries and Expenses,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS",,"Sep 12, 2017","Aug 18, 2012",False,"Department of Justice,
Civil Rights Division, Criminal Section, Washington DC 20530
(202) 514-3204. Contact: Office 
"
16.105,Civil Rights of Institutionalized Persons,Z - Salaries and Expenses,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","29.001, 93.613","Sep 12, 2017","Aug 18, 2012",False,"Department of Justice,
Civil Rights Division, Special Litigation Section, , Washington DC 20530
Telephone: (202) 514-6255.
"
16.104,Protection of Voting Rights,Z - Salaries and Expenses,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.200, 29.001, 93.001","Sep 12, 2017","Aug 18, 2012",False,"Department of Justice, Civil Rights Divison, Voting Section
Department of Justice, Civil Rights Division, Voting Section
, Washington  DC 20530
800-253-3931
"
16.103,Fair Housing and Equal Credit Opportunity,Z - Salaries and Expenses,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS",,"Sep 12, 2017","Aug 18, 2012",False,"Department of Justice,
Civil Rights Division, Housing & Civil Enforcement Section, Washington DC 20530
Telephone: (202) 514-4713. 
"
16.101,Equal Employment Opportunity,Z - Salaries and Expenses,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.200, 17.301, 17.303, 29.001, 17.700, 30.001","Sep 12, 2017","Aug 18, 2012",False,"Department of Justice,
Civil Rights Division, Employment Litigation Section, Washington DC 20530
(Voice) (202) 514-3831; 800-578-
"
16.100,Desegregation of Public Education,Z - Salaries and Expenses,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS","16.200, 29.001, 93.001, 84.004","Sep 12, 2017","Aug 16, 2012",False,"Department of Justice
Rights Division, Educational Opportunities Litigation Section, , Washington DC 20530
(202) 514-4092. Contact: Office 
"
17.301,Non-Discrimination and Affirmative Action by Federal Contractors and Federally Assisted Construction Contractors,Z - Salaries and Expenses,"LABOR, DEPARTMENT OF",OFFICE OF FEDERAL CONTRACT COMPLIANCE PROGRAM,"29.001, 30.001, 93.001, 16.101, 17.207","Sep 12, 2017","Aug 11, 2010",False,"Patricia A. Shiu, Director, Office of Federal Contract Compliance Programs,
200 Constitution Avenue, NW, Washington DC 20210;
(202) 693-0101
"
64.119,Veterans Housing_Manufactured Home Loans,,"VETERANS AFFAIRS, DEPARTMENT OF",VETERANS BENEFITS ADMINISTRATION,"64.114, 14.127, 64.118, 14.110, 64.106","Sep 12, 2017","Jun 16, 2008",False,"Department of Veterans Affairs, Washington, DC 20420. Telephone: (202) 461-9511. , 

"
64.115,Veterans Information and Assistance,,"VETERANS AFFAIRS, DEPARTMENT OF",VETERANS BENEFITS ADMINISTRATION,"17.803, 27.002","Sep 12, 2017","Jul 16, 2008",False,"Department of Veterans Affairs, Washington, DC 20420. Telephone: (202) 461-9700. , 

"
64.022,Veterans Home Based Primary Care,,"VETERANS AFFAIRS, DEPARTMENT OF",VA HEALTH ADMINISTRATION CENTER,64.011,"Sep 12, 2017","Jun 19, 2008",False,"Chief Consultant, Geriatrics and Extended Care Strategic Healthcare Group (114), Department of Veterans Affairs, Washington, DC 20420.  Home Based Primary Care Program Coordinator, Telephone: (202) 273-6488/8540. , 

"
64.019,Veterans Rehabilitation_Alcohol and Drug Dependence,Z - Salaries and Expenses,"VETERANS AFFAIRS, DEPARTMENT OF",VA HEALTH ADMINISTRATION CENTER,"64.009, 64.011","Sep 12, 2017","Jul 16, 2008",False,"Director, Associate Chief Consultant, Addictive Disorders (116B), Department of Veterans Affairs, 810 Vermont Ave., Washington, DC  20420.  Telephone:  (202) 461-7352. , 

"
64.018,Sharing Specialized Medical Resources,,"VETERANS AFFAIRS, DEPARTMENT OF",VA HEALTH ADMINISTRATION CENTER,,"Sep 12, 2017","Jun 20, 2008",False,"Director, Sharing and Purchasing Office (175), Veterans Health Administration, Department of Veterans Affairs, 810 Vermont Avenue, N.W., Washington, DC 20420.  Telephone:  (202) 273-8406. , 

"
64.010,Veterans Nursing Home Care,,"VETERANS AFFAIRS, DEPARTMENT OF",VA HEALTH ADMINISTRATION CENTER,64.015,"Sep 12, 2017","Jun 16, 2008",False,"Chief Consultant, Geriatrics and Extended Strategic Health Group (114), Department of Veterans Affairs, Washington, DC 20420.  VA Nursing Home Care Program Chief. Telephone: (202) 273-8540. , 

"
64.009,Veterans Medical Care Benefits,Z - Salaries and Expenses,"VETERANS AFFAIRS, DEPARTMENT OF",VA HEALTH ADMINISTRATION CENTER,"64.010, 64.008, 64.012, 64.013, 64.022, 64.019, 64.011, 64.007","Sep 12, 2017","Jun 16, 2008",False,"Director, Health Administration Services (10C3), Department of Veterans Affairs, Washington, DC 20420. Telephone: (202) 273-8302 or 273-8303. , 

"
64.007,Blind Rehabilitation Centers,Z - Salaries and Expenses,"VETERANS AFFAIRS, DEPARTMENT OF",VA HEALTH ADMINISTRATION CENTER,"64.009, 64.011","Sep 12, 2017","Jul 16, 2008",False,"Blind Rehabilitation Service (117B), Patient Care Services, Department of Veterans Affairs, Washington, DC 20420. Telephone:  (202) 461-7317. , 

"
85.003,MCC Domestic Assistance for Overseas Programs,B - Project Grants,MILLENNIUM CHALLENGE CORPORATION,,,"Sep 11, 2017","Jun 18, 2010",False,"James R. Blades,
Millennium Challenge Corporation, Contracts and Grants Management Division, 875 15th Street, NW, Washington DC 20005
(202) 521-3600.
"
40.002,Government Publications Sales and Distribution,,UNITED STATES GOVERNMENT PUBLISHING OFFICE,,"43.002, 39.009, 40.001, 11.650","Sep 11, 2017","Sep 18, 2008",False,"Mail orders and inquiries should be addressed to: United States Government Printing Office, Superintendent of Documents, 732 N. Capitol Street, Washington, DC 20402. Contact: Order Desk. Telephone: (toll free) (866) 512-1800 or DC area (202) 512-1800. Fax: (202) 512-2104, E Mail: orders@gpo.gov or gpo@custhelp.com . , 

"
40.001,Depository Libraries for Government Publications,,UNITED STATES GOVERNMENT PUBLISHING OFFICE,,"40.002, 11.650","Sep 11, 2017","Sep 18, 2008",False,"U.S. Government Printing Office, Information Dissemination Department (Superintendent of Documents), 732 North Capitol Street, NW., Washington, DC 20402. Contact: U.S. Government Printing Office, Judy Russell, Superintendent of Documents, 732 North Capitol Street, NW., Washington, DC 20402.  Telephone: (202) 512-1114. The Gpo Contact Center:   Hours:  7:00 a.m. to 8:00 p.m.  EST Monday through Friday    (except Federal Holidays)  Toll-Free: 1-866-512-1800 DC Area:  202-512-1800  E-Mail: ContractCenter@gpo.gov  Online: www.gpoaccess.gov/help  Fax: 202-512-2104. , 

"
27.013,Presidential Management Intern Program,,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT,27.011,"Sep 11, 2017","Mar 28, 2008",False,"U.S. Office of Personnel Management, Philadelphia Service Center, Presidential Management Intern Program, Federal Building, 600 Arch Street, Philadelphia, PA  19106. Telephone: (215) 597-7136 or (215) 597-1920. , 

"
27.011,Intergovernmental Personnel Act (IPA) Mobility Program,,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT,,"Sep 11, 2017","Jul 8, 2005",False," Office of Merit Systems Oversight and, Effectiveness Office of Personnel Management, 1900 E Street, NW., Room 7463, Washington, DC 20415-001.  Telephone: (202) 606-1181.  Contact: Tony Ryan. , 

"
27.006,Federal Summer Employment,,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT,"27.001, 27.003","Sep 11, 2017","Jul 8, 2005",False," Federal employment information is available nationwide from the following sources:  USAJOBS - OPM's Web site: www.usajobs.opm.gov; Federal Job Opportunities Board (FJOB):  Telephone: (912) 757-3100; Touch Screen Computer Kiosks:  Located in OPM offices and Federal buildings throughout the country.  USAJOBS by Telephone Listing System:  Atlanta, GA, (404) 331-4315; Chicago, IL, (312) 353- 6192; Dayton, OH, (937) 225-2720; Denver, CO, (303) 969-7050; Detroit, MI, (313) 226-6950; Honolulu, HI, (808) 541-2791; Huntsville, AL, (205) 837-0894; Kansas City, MO, (816) 426-5702; Norfolk, VA, (757) 441-3355; Philadelphia, PA, (215) 597-7440; Raleigh, NC, (919) 790-2822; San Antonio, TX, (210) 805-2402; San Francisco, CA, (415) 744-5627; Seattle, WA, (206) 553-0888; Twin Cities, MN, (612) 725-3430; Washington, DC, (202) 606-2700; Nationwide, (912) 757-3000; and TDD Service, (912) 744- 2299. , 

"
27.005,Federal Employment for Individuals With Disabilities,,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT,"84.128, 27.001, 93.613, 27.002, 17.207","Sep 11, 2017","Mar 28, 2008",False,"Diversity Office, Employment Service, Office of Personnel Management, 1900 E Street, NW., Room 2445, Washington, DC 20415. Telephone:  (202) 606-1059.  Contact: Armando E. Rodriguez, Director. , 

"
27.003,Federal Student Temporary Employment Program,,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT,"27.001, 17.207","Sep 11, 2017","Sep 1, 2006",False,"For Policy issues only--Staffing Reinvention Office, Employment Service Office of Personnel Management, 1900 E Street, NW., Washington, DC 20415.  Telephone: (202) 606-0830. Contact: Mike Mahoney. , 

"
27.002,Federal Employment Assistance for Veterans,,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT,"27.005, 27.001, 64.115, 17.803, 64.116, 17.207","Sep 11, 2017","Sep 1, 2006",False," For information on Disabled Veterans Affirmative Action Programs, contact: Office of Diversity, Employment Service, U.S. Office of Personnel Management, 1900 E Street, NW., Room 2445, Washington, DC 20415.  Telephone: (202) 606-1059.  Contact: Armando Rodriguez.  For information on Veterans' Preference and Special Hiring Authorities for Veterans, contact:  Office of Staffing Reinvention, Employment Service, U.S. Office of Personnel Management, Room 6500, 1900 E Street, NW., Washington, DC 20415.  Telephone: (202) 606-0830. Contact: Pat Paige. , 

"
27.001,Federal Civil Service Employment,,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT,"27.005, 27.003, 27.002, 17.207","Sep 11, 2017","Oct 11, 2007",False," Federal employment information is available nationwide from the following sources:  USA JOBS - OPM's Web site: www.usajobs.opm.gov; Federal Job Opportunities Board (FJOB):  (912) 757- 3100; Touch Screen Computer Kiosks:  Located in OPM offices and Federal buildings throughout the country.  Job information is also available by telephone on the USA JOBS Telephone Listing System:  Atlanta, GA, (404) 331-4315; Chicago, IL, (312) 353-6192; Dayton, OH, (937) 225-2720; Denver, CO, (303) 969-7050; Detroit, MI, (313) 226-6950; Honolulu, HI, (808) 541-2791; Huntsville, AL, (205) 837-0894; Kansas City, MO, (816) 426-5702; Norfolk, VA, (757) 441-3355; Philadelphia, PA, (215) 597-7440; Raleigh, NC, (919) 790-2822; San Antonio, TX, (210) 805-2402; San Francisco, CA, (415) 744-5627; Seattle, WA, (206) 553-0888; Twin Cities, MN, (612) 725-3430; Washington, DC, (202) 606-2700; Nationwide, (912) 757-3000; and TDD Service, (912) 744-2299. , 

"
91.003,91.003 Annual Senior Fellowship Competition,B - Cooperative Agreements,UNITED STATES INSTITUTE OF PEACE,,,"Sep 11, 2017","Jun 27, 2010",False,"Shira B. Lowinger,
United States Institute of Peace, 1200 17th Street NW, Suite 200, Washington DC 20036
(202) 429-3862.
"
91.002,Priority Grant Competition,B - Project Grants,UNITED STATES INSTITUTE OF PEACE,,,"Sep 11, 2017","Sep 29, 2010",False,"Priority Grant Competition,
1200 17th Street NW., Suite 200, Washington  DC 20036-3006
(202) 429-3842.
"
91.001,Annual Grant Competition,B - Project Grants,UNITED STATES INSTITUTE OF PEACE,,,"Sep 11, 2017","Sep 29, 2010",False,"Annual Grant Competition,
1200 17th Street, NW, Suite 200, Washington DC 20036
(202) 429 3842.
"
90.403,U.S. Election Assistance Commission Research Grants,B - Cooperative Agreements (Discretionary Grants),ELECTION ASSISTANCE COMMISSION,,,"Sep 11, 2017","Mar 29, 2010",False,"Mark Abbott,
1201 New York Ave, Suite 300, Washington  DC 20005
(202) 566-2166.
"
90.402,Help America Vote Mock Election Program,,ELECTION ASSISTANCE COMMISSION,,90.400,"Sep 11, 2017","Nov 7, 2008",False,"Julie Ruder or Edgardo Cortes, Help America Vote Mock Election Program, Election Assistance Commission, 1225 New York Avenue, N.W., Suite 1100, Washington, DC 20005, mockelections@eac.gov, Telephone: (202) 566-3100. , 

"
85.001,Harry S Truman Scholarship Program,A - Formula Grants,HARRY S TRUMAN SCHOLARSHIP FOUNDATION,,,"Sep 11, 2017","Nov 7, 2008",False,"Louis Blair, Executive Secretary, 712 Jackson Place, NW., Washington, DC 20006. Telephone: (202) 395-4831.  Use the same number for FTS. , 

"
42.009,Vessel Hull Design Protection Service,Z - Salaries and Expenses,LIBRARY OF CONGRESS,,"42.008, 42.002, 11.900","Sep 11, 2017","Sep 23, 2008",False,"Register of Copyrights, Copyright Office, James Madison Memorial Building, Library of Congress, Washington, DC. Telephone: (202) 707-1497. Mailing Address:  Library of Congress, Copyright Office, 101 Independence Ave. SE., Washington, DC 20559-6000. , 

"
42.008,Semiconductor Chip Protection Service,Z - Salaries and Expenses,LIBRARY OF CONGRESS,,"42.002, 11.900","Sep 11, 2017","Sep 23, 2008",False,"Register of Copyrights, Copyright Office, James Madison Memorial Building, Library of Congress, Washington, DC. Telephone: (202) 707-1497. Mailing Address: Library of Congress, Copyright Office, 101 Independence Ave. S.E., Washington, DC 20559-6000. , 

"
42.002,Copyright Service,,LIBRARY OF CONGRESS,,11.900,"Sep 11, 2017","Sep 23, 2008",False,"Register of Copyrights, Copyright Office, James Madison Memorial Building, Library of Congress, Washington, DC. Telephone: (202) 707-3000. Mailing address: Library of Congress, Copyright Office, 101 Independence Ave., S.E., Washington, DC 20559-6000. , 

"
42.001,Books for the Blind and Physically Handicapped,,LIBRARY OF CONGRESS,,,"Sep 11, 2017","Sep 23, 2008",False,"Frank Kurt Cylke, Director, National Library Service for the Blind and Physically Handicapped, Library of Congress, 1291 Taylor Street, NW., Washington DC 20542.  Telephone: (202) 707-5100.  E-mail: nls@loc.gov. , 

"
85.601,Smithsonian Institution Fellowship Program,,SMITHSONIAN INSTITUTION,,,"Sep 11, 2017","Sep 23, 2008",False,"Office of Fellowships, Smithsonian Institution, Victor Building, Suite 9300, MRC 902, PO Box 37012, Washington DC 20013-7012. , 

"
88.001,Architectural and Transportation Barriers Compliance Board,Z - Salaries and Expenses,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,,,"Sep 11, 2017","Sep 17, 2008",False,"Director, Office of Technical and Information Services, Architectural and Transportation Barriers Compliance Board, Suite 1000, 1331 F Street, NW., Washington, DC 20004-1111.  Telephone: (202) 272-0080 (voice), (202) 272-0082 (TTY); FAX:  (202) 272-0081; e-mail: info@access-board.gov. Technical Assistance: (800) 872-2253 (voice), (800) 993-2822 (TTY). , 

"
78.004,Commodity Futures Reparations Claims,Z - Salaries and Expenses,COMMODITY FUTURES TRADING COMMISSION,,,"Sep 11, 2017","Sep 17, 2008",False,"Office of the Executive Director, Office of Proceedings, Commodity Futures Trading Commission, 3 Lafayette Center, 1155 21st Street, NW., Washington, DC 20581.  Telephone: (202) 418-5250. , 

"
85.105,Agriscience Awards,C - Direct Payments for Specified Use,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,,,"Sep 11, 2017","Sep 21, 2013",False,"Judith Shellenberger, 
110 Genesee Street, Suite 390, Auburn NY 13021
(315) 258-0090
"
85.104,Life Sciences Awards,D - Direct Payments with Unrestricted Use,CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,,,"Sep 11, 2017","Sep 21, 2013",False,"Judith Shellenberger, 
110 Genesee Street, Suite 390, Auburn NY 13021
(315) 258-0090
"
85.102,Christopher Columbus Awards,B - Project Grants (Special),CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,,,"Sep 11, 2017","Sep 21, 2013",False,"Judith Shellenberger, 
110 Genesee Street, Suite 390, Auburn NY 13021
(315) 258-0090
"
29.001,"Clearinghouse Services, Civil Rights Discrimination Complaints",Z - Salaries and Expenses,COMMISSION ON CIVIL RIGHTS,,"16.200, 17.301, 30.002, 17.303, 16.104, 14.400, 16.100, 17.700, 16.105, 30.001, 16.103, 93.001, 16.101","Sep 11, 2017","Sep 23, 2008",False,"Commission on Civil Rights, 624 Ninth Street NW., Washington, DC 20425.  Telephone: (202) 376-8177. TDD (202) 376- 8116. Complaints: (202) 376-8582 or Toll Free 1-800-552-6843 or Regional Office listed above. , 

"
34.001,Labor Mediation and Conciliation,Z - Salaries and Expenses,FEDERAL MEDIATION AND CONCILIATION SERVICE,,46.001,"Sep 11, 2017","Sep 23, 2008",False,"Federal Mediation and Conciliation Service, 2100 K Street N.W., Washington, DC 20427.  Contact: John E. Arnold, Director, Office of Public Affairs.  Telephone: (202) 606-8100. , 

"
32.001,Communications Information and Assistance and Investigation of Complaints,,FEDERAL COMMUNICATIONS COMMISSION,,,"Sep 11, 2017","Jul 8, 2005",False,"Public Service Division, Federal Communications Commission, Room 244, 1919 M St. NW., Washington, DC 20554.  Telephone: FEES (202) 418-0220; CAB (202) 418-0190.  See FCC entry in Appendix IV of the Catalog for names and phone numbers of engineers-in-charge of individual field offices. , 

"
68.001,National Gallery of Art Extension Service,Z - Salaries and Expenses,NATIONAL GALLERY OF ART,,89.003,"Sep 11, 2017","Jul 9, 2008",False,"Department of Education Resources, National Gallery of Art, Washington, DC 20565.  Telephone: (202) 737-4215. Contact:  Department Office, Telephone: (202) 842-6273 (FTS 8-737-6600). E-mail:  EdResources@nga.gov. , 

"
85.300,Woodrow Wilson Center Fellowships in the Humanities and Social Sciences,A - Formula Grants,SMITHSONIAN INSTITUTION,WOODROW WILSON INTERNATIONAL CENTER FOR SCHOLARS,,"Sep 11, 2017","Sep 17, 2008",False,"Woodrow Wilson International Center for Scholars, One Woodrow Wilson Plaza, 1300 Pennsylvania Avenue, NW, Washington, DC 20004.  Contact: Scholar Selection and Services Office. Telephone:  (202) 691-4000.  E-mail: fellowships@wilsoncenter.org. , 

"
58.001,Securities_Investigation of Complaints and SEC Information,Z - Salaries and Expenses,SECURITIES AND EXCHANGE COMMISSION,,36.001,"Sep 11, 2017","Jun 20, 2008",False,"Office of Investor Education and Assistance, Securities and Exchange Commission, 100 F Street, N.E., Washington, DC 20549-0213. Telephone: (202) 551-6551; Facsimile: (202) 772-9295.  The public may submit questions and complaints electronically using our online question and complaint forms at http://www.sec.gov/complaint.shtml. , 

"
36.001,Fair Competition Counseling and Investigation of Complaints,Z - Salaries and Expenses,FEDERAL TRADE COMMISSION,,,"Sep 11, 2017","Jul 14, 2008",False,"Consumer Protection Matters: Director, Bureau of Consumer Protection, Telephone: (202) 326-3240. Restraint of Trade Matters: Director, Bureau of  Competition, Telephone: (202) 326-3175. Both are in the Federal Trade Commission Building, 600 Pennsylvania Avenue, N.W., Washington, DC 20580., 

"
16.013,Violence Against Women Act Court Training and Improvement Grants,B - Project Grants,"JUSTICE, DEPARTMENT OF",BOARDS AND DIVISIONS OFFICES,"16.589, 16.587, 16.588","Sep 11, 2017","Aug 18, 2012",False,"Christina Murray
145 N Street, NE, Washington DC DC 20530
2023070344
"
16.527,"Supervised Visitation, Safe Havens for Children",B - Project Grants,"JUSTICE, DEPARTMENT OF",BOARDS AND DIVISIONS OFFICES,"16.587, 16.590, 16.588","Sep 11, 2017","Aug 18, 2012",False,"Christina Murray
145 N Street, NE, Washington DC DC 20530
202-307-0344
"
85.500,James Madison Memorial Fellowship Program,Z - Salaries and Expenses,JAMES MADISON MEMORIAL FELLOWSHIP COMMISSION,,,"Sep 11, 2017","Nov 10, 2009",False,"Steve Weiss,
2000 K Street, NW Suite # 303 , Washington DC 20006
(202) 653-6109
"
16.814,Northern Border Prosecution Initiative Program,D - Direct Payments with Unrestricted Use,"JUSTICE, DEPARTMENT OF",Bureau of Justice Assistance,,"Sep 8, 2017","Sep 16, 2016",False,"Maria Anderson
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
810 7th Street, NW, Washington DC 20531
(202) 514-7057  or 1-866-859-268
"
16.755,Southwest Border Prosecution Initiative Program,D - Direct Payments with Unrestricted Use,"JUSTICE, DEPARTMENT OF",Bureau of Justice Assistance,,"Sep 8, 2017","Sep 15, 2016",False,"Maria Anderson 
U.S. Department of Justice
Office of Justice Programs
Bureau of Justice Assistance
810 7th Street, NW, Washington DC 20531
(202) 514-7057 or 1-866-817-9274
"
