ID,FEDERALPROGRAMNAME,CFDAPREFIX,CFDAEXT
1524,SPECIAL EDUCATION_GRANTS TO STATES,84,027
1525,HIGHER EDUCATION_INSTITUTIONAL AID,84,031
1526,FEDERAL WORK-STUDY PROGRAM,84,033
1527,IMPACT AID_FACILITIES MAINTENANCE,84,040
1528,IMPACT AID,84,041
1529,TRIO_STUDENT SUPPORT SERVICES,84,042
1530,TRIO_TALENT SEARCH,84,044
1531,TRIO_UPWARD BOUND,84,047
1532,CAREER AND TECHNICAL EDUCATION -- BASIC GRANTS TO STATES,84,048
1533,CAREER AND TECHNICAL EDUCATION -- NATIONAL PROGRAMS,84,051
1534,INDIAN EDUCATION_GRANTS TO LOCAL EDUCATIONAL AGENCIES,84,060
1535,FEDERAL PELL GRANT PROGRAM,84,063
1536,TRIO_EDUCATIONAL OPPORTUNITY CENTERS,84,066
1537,CAREER AND TECHNICAL EDUCATION - GRANTS TO NATIVE AMERICANS AND ALASKA NATIVES,84,101
1538,TRIO STAFF TRAINING PROGRAM,84,103
1539,FUND FOR THE IMPROVEMENT OF POSTSECONDARY EDUCATION,84,116
1540,MINORITY SCIENCE AND ENGINEERING IMPROVEMENT,84,120
1541,REHABILITATION SERVICES_VOCATIONAL REHABILITATION GRANTS TO STATES,84,126
1542,REHABILITATION SERVICES_SERVICE PROJECTS,84,128
1543,REHABILITATION LONG-TERM TRAINING,84,129
1544,CENTERS FOR INDEPENDENT LIVING,84,132
1545,NATIONAL INSTITUTE ON DISABILITY AND REHABILITATION RESEARCH,84,133
1546,MIGRANT EDUCATION_HIGH SCHOOL EQUIVALENCY PROGRAM,84,141
1547,MIGRANT EDUCATION_COORDINATION PROGRAM,84,144
1548,FEDERAL REAL PROPERTY ASSISTANCE PROGRAM,84,145
1549,MIGRANT EDUCATION_COLLEGE ASSISTANCE MIGRANT PROGRAM,84,149
1550,TRAINING INTERPRETERS FOR INDIVIDUALS WHO ARE DEAF AND INDIVIDUALS WHO ARE DEAF-BLIND,84,160
1551,REHABILITATION SERVICES_CLIENT ASSISTANCE PROGRAM,84,161
1552,MAGNET SCHOOLS ASSISTANCE,84,165
1553,INDEPENDENT LIVING_STATE GRANTS,84,169
1554,SPECIAL EDUCATION_PRESCHOOL GRANTS,84,173
1555,REHABILITATION SERVICES_INDEPENDENT LIVING SERVICES FOR OLDER INDIVIDUALS WHO ARE BLIND,84,177
1556,SPECIAL EDUCATION-GRANTS FOR INFANTS AND FAMILIES,84,181
1557,SAFE AND DRUG-FREE SCHOOLS AND COMMUNITIES_NATIONAL PROGRAMS,84,184
1558,SUPPORTED EMPLOYMENT SERVICES FOR INDIVIDUALS WITH THE MOST SIGNIFICANT DISABILITIES,84,187
1559,ADULT EDUCATION_NATIONAL LEADERSHIP ACTIVITIES,84,191
1560,EDUCATION FOR HOMELESS CHILDREN AND YOUTH,84,196
1561,GRADUATE ASSISTANCE IN AREAS OF NATIONAL NEED,84,200
1562,JAVITS GIFTED AND TALENTED STUDENTS EDUCATION,84,206
1563,FUND FOR THE IMPROVEMENT OF EDUCATION,84,215
1564,TRIO_MCNAIR POST-BACCALAUREATE ACHIEVEMENT,84,217
1565,CENTERS FOR INTERNATIONAL BUSINESS EDUCATION,84,220
1566,ASSISTIVE TECHNOLOGY,84,224
1567,LANGUAGE RESOURCE CENTERS,84,229
1568,REHABILITATION SERVICES DEMONSTRATION AND TRAINING PROGRAMS,84,235
1569,PROGRAM OF PROTECTION AND ADVOCACY OF INDIVIDUAL RIGHTS,84,240
1570,TRIBALLY CONTROLLED POSTSECONDARY CAREER AND TECHNICAL INSTITUTIONS,84,245
1571,REHABILITATION SHORT-TERM TRAINING,84,246
1572,AMERICAN INDIAN VOCATIONAL REHABILITATION SERVICES,84,250
1573,TERRITORIES AND FREELY ASSOCIATED STATES EDUCATION GRANT PROGRAM,84,256
1574,NATIVE HAWAIIAN CAREER AND TECHNICAL EDUCATION,84,259
1575,REHABILITATION TRAINING_CONTINUING EDUCATION,84,264
1687,"SPECIAL PROGRAMS FOR THE AGING_TITLE VI, PART A, GRANTS TO INDIAN TRIBES_PART B, GRANTS TO NATIVE HAWAIIANS",93,047
1688,SPECIAL PROGRAMS FOR THE AGING_TITLE IV_AND TITLE II_DISCRETIONARY PROJECTS,93,048
1689,ALZHEIMER'S DISEASE DEMONSTRATION GRANTS TO STATES,93,051
1690,"NATIONAL FAMILY CAREGIVER SUPPORT, TITLE III, PART E",93,052
1691,NUTRITION SERVICES INCENTIVE PROGRAM,93,053
1692,"NATIONAL FAMILY CAREGIVER SUPPORT, TITLE VI, PART C, GRANTS TO INDIAN TRIBES AND NATIVE HAWAIIANS",93,054
1693,PPHF - APPLIED LEADERSHIP FOR COMMUNITY HEALTH IMPROVEMENT,93,055
1694,INITIATIVE TO EDUCATE STATE AND TERRITORIAL OFFICIALS ABOUT MAINTAINING AND STRENGTHENING PUBLIC HEALTH IN A CHANGING ENVIRONMENT,93,056
1695,NATIONAL RESOURCE CENTER FOR HIV PREVENTION AMONG ADOLESCENTS,93,057
1696,"TRAINING IN GENERAL, PEDIATRIC, AND PUBLIC HEALTH DENTISTRY",93,059
1697,COMPETITIVE ABSTINENCE EDUCATION (CAE),93,060
1698,INNOVATIONS IN APPLIED PUBLIC HEALTH RESEARCH,93,061
1699,BIOMONITORING PROGRAMS FOR STATE PUBLIC HEALTH LABORATORIES,93,062
1700,"LABORATORY TRAINING, EVALUATION, AND QUALITY ASSURANCE PROGRAMS",93,064
1701,"LABORATORY LEADERSHIP, WORKFORCE TRAINING AND MANAGEMENT DEVELOPMENT, IMPROVING PUBLIC HEALTH LABORATORY INFRASTRUCTURE",93,065
1702,STATE VITAL STATISTICS IMPROVEMENT PROGRAM,93,066
1703,GLOBAL AIDS,93,067
1704,"CHRONIC DISEASES:  RESEARCH, CONTROL, AND PREVENTION",93,068
1705,PUBLIC HEALTH EMERGENCY PREPAREDNESS,93,069
1706,ENVIRONMENTAL PUBLIC HEALTH AND EMERGENCY RESPONSE,93,070
1707,MEDICARE ENROLLMENT ASSISTANCE PROGRAM,93,071
1708,LIFESPAN RESPITE CARE PROGRAM,93,072
1709,BIRTH DEFECTS AND DEVELOPMENTAL DISABILITIES - PREVENTION AND SURVEILLANCE,93,073
1710,HOSPITAL PREPAREDNESS PROGRAM (HPP) AND PUBLIC HEALTH EMERGENCY PREPAREDNESS (PHEP) ALIGNED COOPERATIVE AGREEMENTS,93,074
1711,SYSTEMS INTEROPERABILITY_HEALTH AND HUMAN SERVICES,93,075
1712,TANF PROGRAM INTEGRITY INNOVATION GRANTS,93,076
1713,FAMILY SMOKING PREVENTION AND TOBACCO CONTROL ACT REGULATORY RESEARCH,93,077
1714,STRENGTHENING EMERGENCY CARE DELIVERY IN THE UNITED STATES HEALTHCARE SYSTEM THROUGH HEALTH INFORMATION AND PROMOTION,93,078
1715,COOPERATIVE AGREEMENTS TO PROMOTE ADOLESCENT HEALTH THROUGH SCHOOL-BASED HIV/STD PREVENTION AND SCHOOL-BASED SURVEILLANCE,93,079
1716,"BLOOD DISORDER PROGRAM: PREVENTION, SURVEILLANCE, AND RESEARCH",93,080
1717,ASPR SCIENCE PREPAREDNESS AND REPONSE GRANTS,93,081
1718,SODIUM REDUCTION IN COMMUNITIES,93,082
1719,"PREVENTION OF DISEASE, DISABILITY, AND DEATH THROUGH IMMUNIZATION AND CONTROL OF RESPIRATORY AND RELATED DISEASES",93,083
1720,"PREVENTION OF DISEASE, DISABILITY, AND DEATH BY INFECTIOUS DISEASES",93,084
1721,RESEARCH OF THE RESPONSIBLE CONDUCT OF RESEARCH (RCR),93,085
1722,HEALTHY MARRIAGE PROMOTION AND RESPONSIBLE FATHERHOOD GRANTS,93,086
1723,ENHANCE SAFETY OF CHILDREN AFFECTED BY SUBSTANCE ABUSE,93,087
1724,ADVANCING SYSTEM IMPROVEMENTS FOR KEY ISSUES IN WOMEN'S HEALTH,93,088
1725,EMERGENCY SYSTEM FOR ADVANCE REGISTRATION OF VOLUNTEER HEALTH PROFESSIONALS,93,089
1726,GUARDIANSHIP ASSISTANCE,93,090
1727,SOCIAL SERVICES AND INCOME MAINTENANCE BENEFITS ENROLLMENT COORDINATION GRANTS,93,091
1728,AFFORDABLE CARE ACT (ACA) PERSONAL RESPONSIBILITY EDUCATION PROGRAM,93,092
1729,AFFORDABLE CARE ACT (ACA) HEALTH PROFESSION OPPORTUNITY GRANTS,93,093
1730,WELL-INTEGRATED SCREENING AND EVALUATION FOR WOMEN ACROSS THE NATION,93,094
1731,HHS PROGRAMS FOR DISASTER RELIEF APPROPRIATIONS ACT - NON CONSTRUCTION,93,095
1732,HHS PROGRAMS FOR DISASTER RELIEF APPROPRIATIONS ACT - CONSTRUCTION,93,096
1733,"STRENGTHENING THE NATION'S PUBLIC HEALTH SYSTEM THROUGH A NATIONAL VOLUNTARY ACCREDITATION PROGRAM FOR STATE, TRIBAL, LOCAL AND TERRITORIAL HEALTH DEPARTMENTS",93,097
1734,TRIBAL PUBLIC HEALTH CAPACITY BUILDING AND QUALITY IMPROVEMENT,93,098
1735,COLLABORATION WITH THE WORLD HEALTH ORGANIZATION AND ITS REGIONAL OFFICES FOR GLOBAL HEALTH SECURITY AND THE INTERNATIONAL HEALTH REGULATIONS (IHR 2005),93,099
1736,FOOD AND DRUG ADMINISTRATION_RESEARCH,93,103
1737,COMPREHENSIVE COMMUNITY MENTAL HEALTH SERVICES FOR CHILDREN WITH SERIOUS EMOTIONAL DISTURBANCES (SED),93,104
1738,AREA HEALTH EDUCATION CENTERS POINT OF SERVICE MAINTENANCE AND ENHANCEMENT AWARDS,93,107
1739,MATERNAL AND CHILD HEALTH FEDERAL CONSOLIDATED PROGRAMS,93,110
1740,ENVIRONMENTAL HEALTH,93,113
1741,PROJECT GRANTS AND COOPERATIVE AGREEMENTS FOR TUBERCULOSIS CONTROL PROGRAMS,93,116
1742,PREVENTIVE MEDICINE RESIDENCY,93,117
1743,ACQUIRED IMMUNODEFICIENCY SYNDROME (AIDS) ACTIVITY,93,118
1744,ORAL DISEASES AND DISORDERS RESEARCH,93,121
1745,HEALTH PROFESSIONS PREGRADUATE SCHOLARSHIP PROGRAM FOR INDIANS,93,123
1746,NURSE ANESTHETIST TRAINEESHIPS,93,124
1747,EMERGENCY MEDICAL SERVICES FOR CHILDREN,93,127
1748,TECHNICAL AND NON-FINANCIAL ASSISTANCE TO HEALTH CENTERS,93,129
1749,COOPERATIVE AGREEMENTS TO STATES/TERRITORIES FOR THE COORDINATION AND DEVELOPMENT OF PRIMARY CARE OFFICES,93,130
1750,GRANTS TO INCREASE ORGAN DONATIONS,93,134
1751,CENTERS FOR RESEARCH AND DEMONSTRATION FOR HEALTH PROMOTION AND DISEASE PREVENTION,93,135
1752,INJURY PREVENTION AND CONTROL RESEARCH AND STATE AND COMMUNITY BASED PROGRAMS,93,136
1753,COMMUNITY PROGRAMS TO IMPROVE  MINORITY HEALTH GRANT PROGRAM,93,137
1754,PROTECTION AND ADVOCACY FOR INDIVIDUALS WITH MENTAL ILLNESS,93,138
1755,INTRAMURAL RESEARCH TRAINING AWARD,93,140
1756,NIEHS HAZARDOUS WASTE WORKER HEALTH AND SAFETY TRAINING,93,142
1757,NIEHS SUPERFUND HAZARDOUS SUBSTANCES_BASIC RESEARCH AND EDUCATION,93,143
1758,AIDS EDUCATION AND TRAINING CENTERS,93,145
1759,PROJECTS FOR ASSISTANCE IN TRANSITION FROM HOMELESSNESS (PATH),93,150
1760,"COORDINATED SERVICES AND ACCESS TO RESEARCH FOR WOMEN, INFANTS, CHILDREN, AND YOUTH",93,153
1761,RURAL HEALTH RESEARCH CENTERS,93,155
1762,"GERIATRIC TRAINING FOR PHYSICIANS, DENTISTS AND BEHAVIORAL/MENTAL HEALTH PROFESSIONALS",93,156
1763,CENTERS OF EXCELLENCE,93,157
1764,HEALTH PROGRAM FOR TOXIC SUBSTANCES AND DISEASE REGISTRY,93,161
1765,NATIONAL HEALTH SERVICE CORPS LOAN REPAYMENT,93,162
1766,INDIAN HEALTH SERVICE EDUCATIONAL LOAN REPAYMENT,93,164
1767,GRANTS TO STATES FOR LOAN REPAYMENT,93,165
1768,HUMAN GENOME RESEARCH,93,172
1769,RESEARCH RELATED TO DEAFNESS AND COMMUNICATION DISORDERS,93,173
1770,NURSING WORKFORCE DIVERSITY,93,178
1771,DISABILITIES PREVENTION,93,184
1772,"IMMUNIZATION RESEARCH, DEMONSTRATION, PUBLIC INFORMATION AND EDUCATION_TRAINING AND CLINICAL SKILLS IMPROVEMENT PROJECTS",93,185
1773,NATIONAL RESEARCH SERVICE AWARD IN PRIMARY CARE MEDICINE,93,186
1774,UNDERGRADUATE SCHOLARSHIP PROGRAM FOR INDIVIDUALS FROM DISADVANTAGED BACKGROUNDS,93,187
1775,GRADUATE PSYCHOLOGY EDUCATION PROGRAM AND PATIENT NAVIGATOR AND CHRONIC DISEASE PREVENTION PROGRAM,93,191
1776,URBAN INDIAN HEALTH SERVICES,93,193
1777,CHILDHOOD LEAD POISONING PREVENTION PROJECTS_STATE AND LOCAL CHILDHOOD LEAD POISONING PREVENTION AND SURVEILLANCE OF BLOOD LEAD LEVELS IN CHILDREN,93,197
1778,SURVEILLANCE OF HAZARDOUS SUBSTANCE EMERGENCY EVENTS,93,204
1779,CONTRACEPTION AND INFERTILITY RESEARCH LOAN REPAYMENT PROGRAM,93,209
1780,TRIBAL SELF-GOVERNANCE PROGRAM: IHS COMPACTS/FUNDING AGREEMENTS,93,210
1781,TELEHEALTH PROGRAMS,93,211
1782,RESEARCH AND TRAINING IN COMPLEMENTARY AND INTEGRATIVE HEALTH,93,213
1783,FAMILY PLANNING_SERVICES,93,217
1784,CLINICAL RESEARCH LOAN REPAYMENT PROGRAM FOR INDIVIDUALS FROM DISADVANTAGED BACKGROUNDS,93,220
1785,DEVELOPMENT AND COORDINATION OF RURAL HEALTH SERVICES,93,223
1786,"CONSOLIDATED HEALTH CENTERS (COMMUNITY HEALTH CENTERS, MIGRANT HEALTH CENTERS, HEALTH CARE FOR THE HOMELESS, AND PUBLIC HOUSING PRIMARY CARE)",93,224
1787,NATIONAL RESEARCH SERVICE AWARDS_HEALTH SERVICES RESEARCH TRAINING,93,225
1788,"RESEARCH ON HEALTHCARE COSTS, QUALITY AND OUTCOMES",93,226
1789,INDIAN HEALTH SERVICE_HEALTH MANAGEMENT DEVELOPMENT PROGRAM,93,228
1790,EPIDEMIOLOGY COOPERATIVE AGREEMENTS,93,231
1791,LOAN REPAYMENT PROGRAM FOR GENERAL RESEARCH,93,232
1792,NATIONAL CENTER ON SLEEP DISORDERS RESEARCH,93,233
1793,TRAUMATIC BRAIN INJURY STATE DEMONSTRATION GRANT PROGRAM,93,234
1794,AFFORDABLE CARE ACT (ACA) ABSTINENCE EDUCATION PROGRAM,93,235
1795,GRANTS TO STATES TO SUPPORT ORAL HEALTH WORKFORCE ACTIVITIES,93,236
1796,SPECIAL DIABETES PROGRAM FOR INDIANS_DIABETES PREVENTION AND TREATMENT  PROJECTS,93,237
1797,POLICY RESEARCH AND EVALUATION GRANTS,93,239
1798,STATE CAPACITY BUILDING,93,240
1799,STATE RURAL HOSPITAL FLEXIBILITY PROGRAM,93,241
1800,MENTAL HEALTH RESEARCH GRANTS,93,242
1801,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES_PROJECTS OF REGIONAL AND NATIONAL SIGNIFICANCE,93,243
1802,ADVANCED NURSING EDUCATION GRANT PROGRAM,93,247
1803,PUBLIC HEALTH TRAINING CENTERS PROGRAM,93,249
1804,GERIATRIC ACADEMIC CAREER AWARDS DEPARTMENT OF HEALTH AND HUMAN SERVICES (B),93,250
1805,EARLY HEARING DETECTION AND INTERVENTION,93,251
1806,POISON CENTER SUPPORT AND ENHANCEMENT GRANT,93,253
1807,INFANT ADOPTION AWARENESS TRAINING,93,254
1808,CHILDREN'S HOSPITALS GRADUATE MEDICAL EDUCATION PAYMENT PROGRAM,93,255
1809,STATE HEALTH ACCESS PROGRAM,93,256
1810,"GRANTS FOR EDUCATION, PREVENTION, AND EARLY DETECTION OF RADIOGENIC CANCERS AND DISEASES",93,257
1811,RURAL ACCESS TO EMERGENCY DEVICES GRANT AND PUBLIC ACCESS TO DEFIBRILLATION DEMONSTRATION GRANT,93,259
1812,FAMILY PLANNING_PERSONNEL TRAINING,93,260
1813,NATIONAL DIABETES PREVENTION PROGRAM: PREVENTING TYPE 2 DIABETES AMONG PEOPLE AT HIGH RISK,93,261
1814,OCCUPATIONAL SAFETY AND HEALTH PROGRAM,93,262
1815,NURSE FACULTY LOAN PROGRAM (NFLP),93,264
1816,COMPREHENSIVE GERIATRIC EDUCATION PROGRAM (CGEP),93,265
1817,"HEALTH SYSTEMS STRENGTHENING AND HIV/AIDS PREVENTION, CARE AND TREATMENT UNDER THE PRESIDENT'S EMERGENCY PLAN FOR AIDS RELIEF",93,266
1818,STATE GRANTS FOR PROTECTION AND ADVOCACY SERVICES,93,267
1819,IMMUNIZATION COOPERATIVE AGREEMENTS,93,268
1820,COMPLEX HUMANITARIAN EMERGENCY AND WAR-RELATED INJURY PUBLIC HEALTH ACTIVITIES,93,269
1821,ADULT VIRAL HEPATITIS PREVENTION AND CONTROL,93,270
1822,ALCOHOL RESEARCH PROGRAMS,93,273
1823,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES-ACCESS TO RECOVERY,93,275
1824,DRUG-FREE COMMUNITIES SUPPORT PROGRAM GRANTS,93,276
1825,DRUG ABUSE AND ADDICTION RESEARCH PROGRAMS,93,279
1826,NATIONAL INSTITUTES OF HEALTH LOAN REPAYMENT PROGRAM FOR CLINICAL RESEARCHERS,93,280
1827,MENTAL HEALTH RESEARCH CAREER/SCIENTIST DEVELOPMENT AWARDS,93,281
1828,MENTAL HEALTH NATIONAL RESEARCH SERVICE AWARDS FOR RESEARCH TRAINING,93,282
1829,CENTERS FOR DISEASE CONTROL AND PREVENTION_INVESTIGATIONS AND TECHNICAL ASSISTANCE,93,283
1830,INJURY PREVENTION PROGRAM FOR AMERICAN INDIANS AND ALASKAN NATIVES_COOPERATIVE AGREEMENTS,93,284
1831,NATIONAL INSTITUTES OF HEALTH PEDIATRIC RESEARCH LOAN REPAYMENT PROGRAM,93,285
1832,DISCOVERY AND APPLIED RESEARCH FOR TECHNOLOGICAL INNOVATIONS TO IMPROVE HUMAN HEALTH,93,286
1833,NATIONAL HEALTH SERVICE CORPS SCHOLARSHIP PROGRAM,93,288
1834,"PRESIDENT'S COUNCIL ON FITNESS, SPORTS, AND NUTRITION",93,289
1835,NATIONAL COMMUNITY CENTERS OF EXCELLENCE IN WOMEN'S HEALTH,93,290
1836,SURPLUS PROPERTY UTILIZATION,93,291
1837,NATIONAL PUBLIC HEALTH IMPROVEMENT INITIATIVE,93,292
1838,SUPPORTING PERMANENT PLACEMENTS OF FOSTER CARE CHILDREN THROUGH ELECTRONIC RECORDS EXCHANGE,93,293
1839,STATE PARTNERSHIP GRANT PROGRAM TO IMPROVE MINORITY HEALTH,93,296
1840,TEENAGE PREGNANCY PREVENTION PROGRAM,93,297
1841,NATIONAL CENTER FOR HEALTH WORKFORCE ANALYSIS,93,300
1842,SMALL RURAL HOSPITAL IMPROVEMENT GRANT PROGRAM,93,301
1843,NURSE CORPS SCHOLARSHIP,93,303
1844,RACIAL AND ETHNIC APPROACHES TO COMMUNITY HEALTH,93,304
1845,NATIONAL STATE BASED TOBACCO CONTROL PROGRAMS,93,305
1846,MINORITY HEALTH AND HEALTH DISPARITIES RESEARCH,93,307
1847,NATIONAL INSTITUTE ON MINORITY HEALTH AND HEALTH DISPARITIES (NIMHD) EXTRAMURAL LOAN REPAYMENT PROGRAMS,93,308
1848,TRANS-NIH RESEARCH SUPPORT,93,310
1849,MOBILIZATION FOR HEALTH: NATIONAL PREVENTION PARTNERSHIP AWARDS,93,311
1850,"CHILD DEVELOPMENT AND, SURVEILLANCE, RESEARCH AND PREVENTION",93,312
1851,NIH OFFICE OF RESEARCH ON WOMEN'S HEALTH,93,313
1852,EARLY HEARING DETECTION AND INTERVENTION INFORMATION SYSTEM (EHDI-IS) SURVEILLANCE PROGRAM,93,314
1853,"RARE DISORDERS: RESEARCH, SURVEILLANCE, HEALTH PROMOTION, AND EDUCATION",93,315
1854,"PUBLIC HEALTH PREPAREDNESS AND RESPONSE SCIENCE, RESEARCH, AND PRACTICE",93,316
1855,EMERGING INFECTIONS PROGRAMS,93,317
1856,"PROTECTING AND IMPROVING HEALTH GLOBALLY: BUILDING AND STRENGTHENING PUBLIC HEALTH IMPACT, SYSTEMS, CAPACITY AND SECURITY",93,318
1857,OUTREACH PROGRAMS TO REDUCE THE PREVALENCE OF OBESITY IN HIGH RISK RURAL AREAS,93,319
1858,"AFFORDABLE CARE ACT (ACA) RESEARCH AND EVALUATION OF THE MATERNAL, INFANT AND EARLY CHILDHOOD HOME VISITING PROGRAM",93,320
1859,DIETARY SUPPLEMENT RESEARCH PROGRAM,93,321
1860,CSELS PARTNERSHIP: STRENGTHENING PUBLIC HEALTH LABORATORIES,93,322
1861,EPIDEMIOLOGY AND LABORATORY CAPACITY FOR INFECTIOUS DISEASES (ELC),93,323
1862,STATE HEALTH INSURANCE ASSISTANCE PROGRAM,93,324
1863,PARALYSIS RESOURCE CENTER,93,325
1864,"STRENGTHENING PUBLIC HEALTH THROUGH SURVEILLANCE, EPIDEMIOLOGIC RESEARCH, DISEASE DETECTION AND PREVENTION",93,326
1865,DEMONSTRATION GRANTS FOR DOMESTIC VICTIMS OF SEVERE FORMS OF HUMAN TRAFFICKING,93,327
1866,NATIONAL IMPLEMENTATION AND DISSEMINATION FOR CHRONIC DISEASE PREVENTIO,93,328
1867,SKILLS TRAINING AND HEALTH WORKFORCE DEVELOPMENT OF PARAPROFESSIONALS GRANT PROGRAM,93,329
1868,LEADERSHIP IN PUBLIC HEALTH SOCIAL WORK EDUCATION GRANT PROGRAM,93,330
1869,PARTNERSHIPS TO IMPROVE COMMUNITY HEALTH,93,331
1870,COOPERATIVE AGREEMENT TO SUPPORT NAVIGATORS IN FEDERALLY-FACILITATED AND STATE PARTNERSHIP MARKETPLACES,93,332
1871,"THE HEALTHY BRAIN INITIATIVE: TECHNICAL ASSISTANCE TO IMPLEMENT PUBLIC HEALTH ACTIONS RELATED TO COGNITIVE HEALTH, COGNITIVE IMPAIRMENT, AND CAREGIVING AT THE STATE AND LOCAL LEVELS",93,334
1872,REDUCING THE EFFECTS ATTRIBUTED TO COMMERCIAL TOBACCO USE BY TRIBES (REACTT),93,335
1873,BEHAVIORAL RISK FACTOR SURVEILLANCE SYSTEM,93,336
1874,FOREIGN PUBLIC HEALTH CONSTRUCTION,93,338
1875,PUBLIC HEALTH CONFERENCE SUPPORT,93,339
1876,"NATIVE AMERICAN COMMUNITY RESEARCH, DEMONSTRATION, AND PILOT PROJECTS",93,340
1877,"ANALYSES, RESEARCH AND STUDIES TO ADDRESS THE IMPACT OF CMSÕ PROGRAMS ON AMERICAN INDIAN/ALASKA NATIVE (AI/AN) BENEFICIARIES AND THE HEALTH CARE SYSTEM SERVING THESE BENEFICIARIES",93,341
1878,"HEALTH PROFESSIONS STUDENT LOANS, INCLUDING PRIMARY CARE LOANS/LOANS FOR DISADVANTAGED STUDENTS",93,342
1879,PUBLIC HEALTH SERVICE EVALUATION FUNDS,93,343
1880,"RESEARCH, MONITORING AND OUTCOMES DEFINITIONS FOR VACCINE SAFETY",93,344
1881,NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,93,350
1882,RESEARCH INFRASTRUCTURE PROGRAMS,93,351
1883,CONSTRUCTION SUPPORT,93,352
1884,ADVANCED EDUCATION NURSING TRAINEESHIPS,93,358
1885,"NURSE EDUCATION, PRACTICE QUALITY AND RETENTION GRANTS",93,359
1886,"BIOMEDICAL ADVANCED RESEARCH AND DEVELOPMENT AUTHORITY (BARDA), BIODEFENSE MEDICAL COUNTERMEASURE DEVELOPMENT",93,360
1887,NURSING RESEARCH,93,361
1888,NURSING STUDENT LOANS,93,364
1889,SICKLE CELL TREATMENT DEMONSTRATION PROGRAM,93,365
1890,ACL INDEPENDENT LIVING STATE GRANTS,93,369
1891,NATIONAL CENTER FOR RESEARCH RESOURCES,93,389
1892,CANCER CAUSE AND PREVENTION RESEARCH,93,393
1893,CANCER DETECTION AND DIAGNOSIS RESEARCH,93,394
1894,CANCER TREATMENT RESEARCH,93,395
1895,CANCER BIOLOGY RESEARCH,93,396
1896,CANCER CENTERS SUPPORT GRANTS,93,397
1897,CANCER RESEARCH MANPOWER,93,398
1898,CANCER CONTROL,93,399
1899,NATIONAL HEALTH SERVICE CORPS SCHOLARSHIP PROGRAM,93,400
1900,ARRA - NATIONAL HEALTH SERVICE CORPS LOAN REPAYMENT,93,401
1901,ARRA GRANTS FOR TRAINING IN PRIMARY CARE MEDICINE AND DENTISTRY TRAINING AND ENHANCEMENT,93,403
1902,NURSE CORPS LOAN REPAYMENT PROGRAM,93,406
1903,FACULTY LOAN REPAYMENT PROGRAMS,93,409
1904,NON-ACA/PPHFÑBUILDING CAPACITY OF THE PUBLIC HEALTH SYSTEM TO IMPROVE POPULATION HEALTH THROUGH NATIONAL NONPROFIT ORGANIZATIONS,93,424
1905,ACL CENTERS FOR INDEPENDENT LIVING,93,432
1906,"ACL NATIONAL INSTITUTE ON DISABILITY, INDEPENDENT LIVING, AND REHABILITATION RESEARCH",93,433
1907,NATIONAL PROJECT MANAGEMENT OF THE HEALTHCARE COMMUNITIES KNOWLEDGE GATEWAY,93,440
1908,INDIAN SELF-DETERMINATION,93,441
1909,SPECIAL DIABETES PROGRAM FOR INDIANS (SDPI) DIABETES PREVENTION AND HEALTHY HEART INITIATIVE,93,442
1910,HEALTH PROMOTION/DISEASE PREVENTION PROGRAM FOR AMERICAN INDIANS AND ALASKA NATIVES,93,443
1911,TRIBAL SELF-GOVERNANCE PROGRAM: PLANNING AND NEGOTIATION COOPERATIVE AGREEMENT,93,444
1912,INDIAN HEALTH SERVICE SANITATION FACILITIES CONSTRUCTION PROGRAM,93,445
1913,FOOD SAFETY AND SECURITY MONITORING PROJECT,93,448
1914,RUMINANT FEED BAN SUPPORT PROJECT,93,449
1915,HEALTH IMPROVEMENT FOR RE-ENTERING EX-OFFENDERS INITIATIVE (HIRE) HIV/AIDS,93,452
1916,ACL ASSISTIVE TECHNOLOGY,93,464
1917,PREGNANCY ASSISTANCE FUND PROGRAM,93,500
1918,AFFORDABLE CARE ACT (ACA) GRANTS FOR SCHOOL-BASED HEALTH CENTER CAPITAL EXPENDITURES,93,501
1919,AFFORDABLE CARE ACT (ACA) INFRASTRUCTURE TO EXPAND ACCESS TO CARE,93,502
1920,AFFORDABLE CARE ACT (ACA) NURSING ASSISTANT AND HOME HEALTH AIDE PROGRAM,93,503
1921,FAMILY TO FAMILY HEALTH INFORMATION CENTERS,93,504
1922,"AFFORDABLE CARE ACT (ACA) MATERNAL, INFANT, AND EARLY CHILDHOOD HOME VISITING PROGRAM",93,505
1923,ACA NATIONWIDE PROGRAM FOR NATIONAL AND STATE BACKGROUND CHECKS FOR DIRECT PATIENT ACCESS EMPLOYEES OF LONG TERM CARE FACILITIES AND PROVIDERS,93,506
1924,PPHF NATIONAL PUBLIC HEALTH IMPROVEMENT INITIATIVE,93,507
1925,"AFFORDABLE CARE ACT (ACA) TRIBAL MATERNAL, INFANT, AND EARLY CHILDHOOD HOME VISITING PROGRAM",93,508
1926,AFFORDABLE CARE ACT (ACA) STATE HEALTH CARE WORKFORCE DEVELOPMENT GRANTS,93,509
1927,AFFORDABLE CARE ACT (ACA) PRIMARY CARE RESIDENCY EXPANSION PROGRAM,93,510
