Program Title,Program Number
Occupational Safety and Health State Program,17.503
Consultation Agreements,17.504
Mine Health and Safety Grants,17.600
Brookwood-Sago Grant,17.603
Safety and Health Grants,17.604
Women's Bureau,17.700
Women in Apprenticeship and Nontraditional Occupations (“WANTO”) Technical Assistance Grant Program,17.701
Disability Employment Policy Development,17.720
Jobs for Veterans State Grants,17.801
Homeless Veterans’ Reintegration Program,17.805
Academic Exchange Programs - Undergraduate Programs,19.009
Academic Exchange Programs - Hubert H. Humphrey Fellowship Program,19.010
Academic Exchange Programs - Special Academic Exchange Programs,19.011
Professional and Cultural Exchange Programs - Special Professional and Cultural Programs,19.012
Thomas R. Pickering Foreign Affairs Fellowship Program,19.013
"Cultural, Technical and Educational Centers",19.015
Environmental and Scientific Partnerships and Programs,19.017
Resettlement Support Centers (RSCs) for U.S. Refugee Resettlement,19.018
International Programs to Combat Human Trafficking,19.019
Charles B. Rangel International Affairs Program,19.020
Investing in People in The Middle East and North Africa,19.021
Educational and Cultural Exchange Programs Appropriation Overseas Grants,19.022
Overseas Schools Program,19.023
Soft Target Program for Overseas Schools,19.024
U.S. Ambassadors Fund for Cultural Preservation,19.025
Global Peace Operations Initiative,19.026
Energy Governance and Reform Programs,19.027
The U.S. President's Emergency Plan for AIDS Relief Programs,19.029
Global Threat Reduction,19.033
Cyber Capacity Building,19.035
Cultural Antiquities Task Force,19.036
Public Diplomacy Programs,19.040
Strategic Global Priorities,19.041
Migration Management,19.042
Study of International Parental Child Abduction,19.043
Refugee Resettlement,19.044
International Fisheries Commissions,19.087
Bureau of South and Central Asian Affairs,19.108
Conflict and Stabilization Operations,19.121
East Asia and Pacific Grants Program,19.124
Fishermen's Guaranty Fund,19.204
Foreign Affairs IT (FAIT) Fellowship,19.205
"William D. Clarke, Sr. Fellowship",19.207
Student Programs and Fellowships,19.209
Ambassadors' Special Self Help Fund,19.220
Regional Democracy Program,19.221
Trans-Sahara Counterterrorism Partnership (TSCTP),19.222
South Sudan and Sudan Assistance Program,19.223
Nonproliferation and Disarmament Fund,19.224
Africa Regional Democracy Fund,19.225
Program for Study of Eastern Europe and the Independent States of the Former Soviet Union,19.300
The Secretary's Office of the Global Partnership Initiative (S/GPI) Grant Programs,19.301
Decrypting PRC Industrial and Technology Policy,19.303
Export Controls and Border Security,19.317
Economic Statecraft,19.322
Office of the Biological Policy Staff,19.334
"International Programs to Support Democracy, Human Rights and Labor",19.345
Academic Exchange Programs - Graduate Students,19.400
Academic Exchange Programs - Scholars,19.401
Professional and Cultural Exchange Programs - International Visitor Leadership Program,19.402
Academic Exchange Programs - Teachers,19.408
Professional and Cultural Exchange Programs - Citizen Exchanges,19.415
Academic Exchange Programs - English Language Programs,19.421
Academic Exchange Programs - Educational Advising and Student Services,19.432
ECA U.S. Speaker Program,19.440
ECA – American Spaces,19.441
ECA Individual Grants,19.450
Special International Exchange Grant Programs,19.451
International Exchange Alumni Programs,19.452
Middle East Partnership Initiative,19.500
Public Diplomacy Programs for Afghanistan and Pakistan,19.501
Middle East Regional Cooperation Program,19.502
U.S. Refugee Admissions Program,19.510
Overseas Refugee Assistance Programs for East Asia,19.511
Contributions to International Organizations for Overseas Assistance,19.515
Overseas Refugee Assistance Programs for Africa,19.517
Overseas Refugee Assistance Programs for Western Hemisphere,19.518
Overseas Refugee Assistance Program for Middle East and North Africa Program,19.519
Overseas Refugee Assistance Programs for Europe,19.520
Overseas Refugee Assistance Programs for Strategic Global Priorities,19.522
Overseas Refugee Assistance Program for South Asia,19.523
Bureau of Near Eastern Affairs,19.600
Syria Assistance Program,19.601
Fiscal Transparency Innovation Fund,19.662
Global Telecommunications and Emerging Technology Training,19.663
Cyberspace and Digital Policy,19.665
EUR/ACE National Endowment for Democracy Small Grants,19.666
Global Counterterrorism Programs,19.701
Criminal Justice Systems,19.703
Counter Narcotics,19.704
Trans-National Crime,19.705
Partnership for Regional East Africa Counterterrorism,19.706
Assessed Contributions for State Department,19.707
Bureau of Western Hemisphere Affairs Assistance Coordination (WHA/AC) Grant Programs,19.750
"100,000 Strong in the Americas Innovation Fund",19.777
Contributions to International Organizations- CIO,19.790
Voluntary Contributions to International Organizations,19.791
Assessed Contributions to International Organizations,19.792
Bureau of International Organization Affairs Grants Program,19.793
Weapons Removal and Abatement,19.800
Office of Global Women's Issues,19.801
Multilateral and Nuclear Affairs,19.808
EUR-Other,19.878
Global Defense Reform Program,19.888
AEECA/ESF PD Programs,19.900
Export Control and Related Border Security,19.901
Cooperation on Peaceful Uses of Nuclear Energy,19.903
Organization of American States Programs,19.948
Assessed Contributions to International Organizations/CIPA,19.973
Regional Peace and Security,19.979
State/African Regional - Other Economic Support Funds (ESF) Projects/Programs,19.989
International Justice and Accountability Programming,19.990
"Airport Improvement Program, Infrastructure Investment and Jobs Act Programs, and COVID-19 Airports Programs",20.106
Aviation Research Grants,20.108
Air Transportation Centers of Excellence,20.109
Aircraft Pilots Workforce Development Grant Program,20.111
Aviation Maintenance Technical Workforce Grant Program,20.112
Fueling Aviation’s Sustainable Transition via Sustainable Aviation Fuels (FAST-SAF) and Low-Emissions Aviation Technologies (FAST-Tech) Grant,20.115
Airport Improvement Program,20.116
Airport Infrastructure Grants,20.117
Airport Terminal Program,20.118
Highway Research and Development Program,20.200
Highway Planning and Construction,20.205
Highway Training and Education,20.215
Motor Carrier Safety Assistance,20.218
Recreational Trails Program,20.219
The Charging and Fueling Infrastructure (CFI) Grant Program,20.220
Exploratory Advanced Research (EAR) Program,20.221
Transportation Infrastructure Finance and Innovation Act (TIFIA) Program,20.223
Federal Lands Access Program,20.224
Highway Research & Development Program,20.225
Advanced Transportation Technology and Innovation (ATTAIN) Program,20.226
Technology & Innovation Deployment Program 503(c),20.227
Active Transportation Infrastructure Investment Program  (ATIIP),20.228
Appalachian Development Highway System,20.229
Commercial Driver's License Program Implementation Grant,20.232
Commercial Motor Vehicle Operator Safety Training Grants,20.235
Motor Carrier Safety Assistance High Priority Activities Grants and Cooperative Agreements,20.237
Fuel Tax Evasion-Intergovernmental Enforcement Effort,20.240
Commercial Motor Vehicle Enforcement Training and Support,20.243
High Priority-Commercial Motor Vehicle (HP-CMV) Grant,20.244
High Priority-Innovative Technology Deployment (HP-ITD) Grant,20.245
Crash Causal Factors Grant Program,20.246
"State, Planning and Research",20.258
Environmental Review Implementation Fund,20.259
Federal Lands Transportation Program (FLTP),20.260
National Summer Transportation Institute Grants (NSTI),20.261
Prioritization Process Pilot Program,20.262
Bridge Formula Program,20.263
Bridge Investment Program,20.264
Carbon Reduction Program,20.265
Commuter Authority Rail Safety Improvement (CARSI) Grant Program,20.266
Competitive Highway Bridge Program (CHBP),20.267
Congestion Mitigation and Air Quality Improvement Program (CMAQ),20.268
Congestion Relief Program,20.269
Construction of Ferry Boats and Ferry Terminal Facilities Program (FBP),20.270
Emergency Relief (ER) Program,20.271
Highway Safety Improvement Program (HSIP),20.272
Intelligent Transportation Systems (ITS) Program,20.273
Low-Carbon Transportation Materials (LCTM) Program,20.274
Metropolitan Planning Program (MPP),20.275
"National Culvert Removal, Replacement, & Restoration Grant",20.276
National Electric Vehicle Infrastructure,20.277
National Highway Freight Program (NHFP),20.278
National Highway Performance Program (NHPP),20.279
National Scenic Byways Program,20.280
Nationally Significant Federal Lands and Tribal Projects (NSFLTP),20.281
On-the-Job Training Program Supportive Services (OJT/SS),20.282
Pollinator-Friendly Practices on Roadsides and Highway Rights-of-Way Discretionary Grant Program,20.283
"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT)",20.284
Railway-Highway Crossings Program,20.285
Reduction of Truck Emissions at Port Facilities,20.286
Surface Transportation Block Grant Program,20.287
Transportation Access Pilot Program,20.288
Tribal Transportation Program (TTP),20.289
Wildlife Crossings Pilot Program,20.290
Centers for Surface Transportation Excellence 504(h),20.291
Garrett A. Morgan Technology and Transportation Education Program (GAMTTEP),20.293
Highway Training & Education Local Technical Assistance 504(b),20.294
Highway Training & Education Research Fellowships 504(c),20.295
"Surface Transportation Workforce Development, Training, and Education 504(e)",20.296
Transportation Education and Training Development  and Deployment Program (TETDDP) 504(f),20.297
Territorial and Puerto Rico Highway Program,20.298
Safety Related Activities,20.299
Railroad Safety,20.301
Railroad Research and Development,20.313
Railroad Development,20.314
National Railroad Passenger Corporation Grants,20.315
Railroad Rehabilitation and Improvement Financing Program,20.316
Capital Assistance to States - Intercity Passenger Rail Service,20.317
Maglev Project Selection Program - SAFETEA-LU,20.318
High-Speed Rail Corridors and Intercity Passenger Rail Service – Capital Assistance Grants,20.319
Rail Line Relocation and Improvement,20.320
Railroad Safety Technology Grants,20.321
Fiscal Year 2013 Hurricane Sandy Disaster Relief Grants to the National Railroad Passenger Corporation,20.323
Restoration and Enhancement,20.324
Consolidated Rail Infrastructure and Safety Improvements,20.325
Federal-State Partnership for Intercity Passenger Rail,20.326
Railroad Crossing Elimination,20.327
Interstate Rail Compacts,20.328
Railroad Safety,20.329
Railroad Safety State Participation Grant Program,20.330
Railroad Research and Development Centers of Excellence,20.331
Railroad Research and Development,20.332
Northeast Corridor Commission,20.333
Railroad Development,20.334
State-Amtrak Intercity Passenger Rail Committee,20.335
Consolidated Rail Infrastructure and Safety Improvements Program,20.337
Consolidated Rail Infrastructure and Safety Improvements Program – Special Transportation Circumstances,20.338
Corridor Identification and Development Program,20.339
Federal-State Partnership for Intercity Passenger Rail Grant Program,20.340
Federal Transit Capital Investment Grants,20.500
Metropolitan Transportation Planning and State and Non-Metropolitan Planning and Research,20.505
Federal Transit Formula Grants,20.507
Formula Grants for Rural Areas and Tribal Transit Program,20.509
Enhanced Mobility of Seniors and Individuals with Disabilities,20.513
Job Access and Reverse Commute Program,20.516
Metropolitan Transportation Planning (Section 5303),20.517
Paul S. Sarbanes Transit in the Parks,20.520
New Freedom Program,20.521
Passenger Rail Investment and Improvement (PRIIA)  Projects for Washington Metropolitan Area Transit Authority (WMATA),20.524
State of Good Repair Grants Program,20.525
"Buses and Bus Facilities Formula, Competitive, and Low or No Emissions Programs",20.526
Public Transportation Emergency Relief Program,20.527
Rail Fixed Guideway Public Transportation System State Safety Oversight Formula Grant Program,20.528
Bus Testing,20.529
Public Transportation Innovation,20.530
Technical Assistance and Workforce Development,20.531
"Passenger Ferry Grant Program, Electric or Low-Emitting Ferry Pilot Program, and Ferry Service for Rural Communities Program",20.532
All Stations Accessibility Program,20.533
Community Project Funding Congressionally Directed Spending,20.534
Statewide and Nonmetropolitan Transportation Planning and Research (Section 5304),20.535
Enhanced Mobility of Seniors and Individuals with Disabilities,20.536
Innovative Coordinated Access and Mobility (ICAM) Grants,20.537
Electric or Low-Emitting Passenger Ferry Program,20.538
Ferry Service for Rural Communities,20.539
Passenger Ferry Program,20.540
Discretionary Planning Grant Programs,20.541
State and Community Highway Safety,20.600
National Driver Register,20.606
Alcohol Open Container Requirements,20.607
Minimum Penalties for Repeat Offenders for Driving While Intoxicated,20.608
Incentive Grant Program to Prohibit Racial Profiling,20.611
National Highway Traffic Safety Administration (NHTSA) Discretionary Safety Grants and Cooperative Agreements,20.614
National Priority Safety Programs,20.616
State Electronic Data Collection (SEDC) Program Grant,20.617
Driver Alcohol Detection System for Safety,20.618
Motor Vehicle Safety Research,20.619
Behavioral Traffic Safety Cooperative Research,20.620
State Process for Informing Consumers of Recalls,20.621
National Highway Traffic Safety Administration (NHTSA) Discretionary Safety Grants and Cooperative Agreements,20.622
Pipeline Safety Program State Base Grant,20.700
University Transportation Centers Program,20.701
Interagency Hazardous Materials Public Sector Training and Planning Grants,20.703
Hazardous Materials Emergency Preparedness (HMEP),20.705
Pipeline Emergency Response Grant (PERG),20.706
Hazardous Materials State Inspection (HMSI) Grant,20.707
Natural Gas Distribution Infrastructure Safety and Modernization Grant Program,20.708
Assistance for Local Emergency Response Training (ALERT),20.709
Technical Assistance Grants,20.710
Community Safety Grants,20.711
Hazardous Materials Instructor Training,20.712
Supplemental Public Sector Training Grants,20.713
State Damage Prevention Program Grants,20.720
PHMSA Pipeline Safety Program One Call Grant,20.721
PHMSA Pipeline Safety Research and Development “Other Transaction Agreements”,20.723
Pipeline Safety Research Competitive Academic Agreement Program (CAAP),20.724
PHMSA Pipeline Safety Underground Natural Gas Storage Grant,20.725
Federal Ship Financing Guarantees,20.802
Maritime War Risk Insurance,20.803
State Maritime Schools,20.806
U.S. Merchant Marine Academy,20.807
Capital Construction Fund,20.808
Construction Reserve Fund,20.812
Maritime Security Fleet Program or Ship Operations Cooperation Program,20.813
Assistance to Small Shipyards,20.814
United States Marine Highway Grants,20.816
Air Emissions and Energy Initiative,20.817
Ballast Water Treatment Technologies,20.819
Maritime Studies and Innovations,20.820
Women on the Water (WOW),20.821
Port Infrastructure Development Program,20.823
Cable Security Fleet Program,20.824
Tanker Security Program,20.825
Maritime Environmental and Technical Assistance,20.826
Payments for Essential Air Services,20.901
Transportation Research and Technology Advancement,20.909
Assistance to Small and Disadvantaged Businesses,20.910
Payments for Small Community Air Service Development,20.930
"Transportation Planning, Research and Education",20.931
National Infrastructure Investments,20.933
Nationally Significant Freight and Highway Projects,20.934
Transportation Demonstration Program,20.936
National Infrastructure Project Assistance (Mega Projects),20.937
Rural Surface Transportation Grant Program,20.938
Safe Streets and Roads for All,20.939
Reconnecting Communities Pilot (RCP) Discretionary Grant Program,20.940
Strengthening Mobility and Revolutionizing Transportation (SMART) Grants Program,20.941
Thriving Communities Program Capacity Builders Cooperative Agreements,20.942
Rural and Tribal Assistance Pilot Program,20.943
Autonomous Vehicle Research in Rural Communities Program,20.944
Asset Concessions and Innovative Finance Assistance,20.945
Research Partnership on Climate Change and Transportation,20.946
Advanced Bridge Technology Clearinghouse (ABTC) Development,20.947
MOBILITY EQUITY RESEARCH INITIATIVE,20.948
RESEARCH INITIATIVE ON THE USE OF STEEL SLAG IN CONCRETE AND CEMENT,20.949
Bridge and Other Transportation Infrastructure Research Program,20.950
Regional Infrastructure Accelerators Program,20.951
Transportation Infrastructure Finance and Innovation Act (TIFIA) Program,20.952
Tax Counseling for the Elderly,21.006
Low Income Taxpayer Clinics,21.008
Volunteer Income Tax Assistance (VITA) Matching Grant Program,21.009
Capital Magnet Fund,21.011
Native Initiatives,21.012
Community Development Financial Institutions Bond Guarantee Program,21.014
"Resources and Ecosystems Sustainability, Tourist Opportunities, and Revived Economies of the Gulf Coast States",21.015
Equitable  Sharing,21.016
Social Impact Partnerships to Pay for Results Act (SIPPRA),21.017
Coronavirus Relief - Pandemic Relief for Aviation Workers,21.018
Community Development Financial Institutions Program,21.020
Bank Enterprise Award Program,21.021
Emergency Rental Assistance Program,21.023
Small Dollar Loan Program,21.025
Homeowner Assistance Fund,21.026
CORONAVIRUS STATE AND LOCAL FISCAL RECOVERY FUNDS,21.027
Coronavirus Capital Projects Fund,21.029
Emergency Capital Investment Program,21.030
State Small Business Credit Initiative Technical Assistance Grant Program,21.031
Local Assistance and Tribal Consistency Fund,21.032
State Small Business Credit Initiative Competitive Technical Assistance Program,21.034
Community Development Financial Institutions Program Loan,21.035
Appalachian Regional Development (See individual Appalachian Programs),23.001
Appalachian Area Development,23.002
Appalachian Development Highway System,23.003
Appalachian Local Development District Assistance,23.009
"Appalachian Research, Technical Assistance, and Demonstration Projects",23.011
Export - Loan Guarantee/Insured Loans,31.007
UNIVERSAL SERVICE FUND - HIGH COST,32.002
UNIVERSAL SERVICE FUND - LIFELINE,32.003
UNIVERSAL SERVICE FUND - SCHOOLS and LIBRARIES,32.004
UNIVERSAL SERVICE FUND - RURAL HEALTH CARE,32.005
COVID-19 Telehealth Program,32.006
Connected Care Pilot Program,32.007
Affordable Connectivity Program,32.008
Emergency Connectivity Fund Program,32.009
Supply Chain Reimbursement Program,32.010
Affordable Connectivity Outreach Grant Program,32.011
Cybersecurity Pilot Program,32.012
State Appraiser Agency Support Grants,38.006
Board Support and Innovation Grant,38.009
Disposal of Federal Surplus Real Property,39.002
Donation of Federal Surplus Personal Property,39.003
Sale of Federal Surplus Personal Property,39.007
Teaching with Primary Sources,42.010
Library of Congress Grants,42.011
Science,43.001
Aeronautics,43.002
Exploration,43.003
Space Operations,43.007
Office of Stem Engagement (OSTEM),43.008
Mission Support,43.009
Space Technology,43.012
Congressionally Directed Programs,43.014
National Space Grant and Fellowship Project,43.015
Established Program to Stimulate Competitive Research,43.016
Community Development Revolving Loan Fund Program for Credit Unions,44.002
Promotion of the Arts Grants to Organizations and Individuals,45.024
Promotion of the Arts Partnership Agreements,45.025
American Latino Museum Internship and Fellowship Initiative,45.031
21st Century Museum Professional Program,45.032
Museum Grants for American Latino History and Culture,45.033
National Garden of American Heroes: Statues,45.034
National Endowment for the Humanities: Collaborative Research,45.035
National Endowment for the Humanities: Media Projects,45.036
National Endowment for the Humanities: Collections Stewardship,45.037
National Endowment for the Humanities: Curriculum Development,45.038
National Endowment for the Humanities: Institutes and Landmarks of American History and Culture,45.039
Promotion of the Humanities Federal/State Partnership,45.129
Promotion of the Humanities Challenge Grants,45.130
Promotion of the Humanities Division of Preservation and Access,45.149
Promotion of the Humanities Fellowships and Stipends,45.160
Promotion of the Humanities Research,45.161
Promotion of the Humanities Teaching and Learning Resources and Curriculum Development,45.162
Promotion of the Humanities Professional Development,45.163
Promotion of the Humanities Public Programs,45.164
Promotion of the Humanities Office of Digital Humanities,45.169
Arts and Artifacts Indemnity,45.201
Museums for America,45.301
Native American/Native Hawaiian Museum Services Program,45.308
Museum Grants for African American History and Culture,45.309
Grants to States,45.310
Native American and Native Hawaiian Library Services,45.311
National Leadership Grants,45.312
Laura Bush 21st Century Librarian Program,45.313
Engineering,47.041
Mathematical and Physical Sciences,47.049
Geosciences,47.050
Computer and Information Science and Engineering,47.070
Biological Sciences,47.074
"Social, Behavioral, and Economic Sciences",47.075
STEM Education (formerly Education and Human Resources),47.076
Polar Programs,47.078
International Science and Engineering,47.079
Integrative Activities,47.083
"Technology, Innovation, and Partnerships",47.084
Intelligence Community Centers for Academic Excellence,54.001
Social Insurance for Railroad Workers,57.001
Social Insurance for Railroad Workers,57.006
8(a) Business Development Program,59.006
7(j) Technical Assistance,59.007
Disaster Assistance Loans,59.008
Small Business Investment Companies,59.011
7(a) Loan Guarantees,59.012
Surety Bond Guarantees,59.016
SCORE,59.026
Small Business Development Centers,59.037
504 Certified Development Loans,59.041
Women's Business Ownership Assistance,59.043
Veterans Outreach Program,59.044
Microloan Program,59.046
Prime Technical Assistance,59.050
Native American Outreach,59.052
Ombudsman and Regulatory Fairness Boards,59.053
HUBZone Program,59.055
Federal and State Technology Partnership Program,59.058
Congressional Grants,59.059
State Trade Expansion,59.061
Intermediary Loan Program,59.062
Growth Accelerator Fund Competition,59.065
Transition Assistance – Entrepreneurship Track (Boots to Business),59.066
Regional Innovation Clusters,59.067
SBA Emerging Leaders initiative,59.069
Economic Injury Disaster Loan Emergency Advance,59.072
Paycheck Protection Loan Program (PPP),59.073
Shuttered Venue Operators Grant Program,59.075
Community Navigator Pilot Program,59.077
Restaurant Revitalization Fund,59.078
Cybersecurity for Small Business Pilot Program,59.079
Grants to States for Construction of State Home Facilities,64.005
Veterans State Domiciliary Care,64.014
Veterans State Nursing Home Care,64.015
VA Homeless Providers Grant and Per Diem Program,64.024
Veterans State Adult Day Health Care,64.026
Post-9/11 Veterans Educational Assistance,64.028
Life Insurance for Veterans - Direct Payments for Insurance,64.031
Montgomery GI Bill Selected Reserve,64.032
VA Supportive Services for Veteran Families Program,64.033
VA Grants for Adaptive Sports Programs for Disabled Veterans and Disabled Members of the Armed Forces,64.034
Veterans Transportation Program,64.035
VA U.S. Paralympics Monthly Assistance Allowance Program,64.037
CHAMPVA,64.039
Specially Adapted Housing Assistive Technology Grant Program,64.051
Payments to States for Programs to Promote the Hiring and Retention of Nurses at State Veterans Homes,64.053
Research and Development,64.054
Staff Sergeant Parker Gordon Fox Suicide Prevention Grant Program,64.055
Legal Services for Homeless Veterans and Veterans At-Risk for Homelessness Grant Program,64.056
Suicide Mortality Review Cooperative Agreements,64.057
Veteran and Spouse Transitional Assistance Grant Program (VSTAGP),64.058
Legal Services for Veterans - Legal Assistance for Access to VA Programs (LSV-A) Grant Program,64.060
Automobiles and Adaptive Equipment for Certain Disabled Veterans and Members of the Armed Forces,64.100
Burial Expenses Allowance for Veterans,64.101
Pension for Non-Service-Connected Disability for Veterans,64.104
"Pension to Veterans Surviving Spouses, and Children",64.105
Specially Adapted Housing for Disabled Veterans,64.106
Veterans Compensation for Service-Connected Disability,64.109
Veterans Dependency and Indemnity Compensation for Service-Connected Death,64.110
Veterans Housing Guaranteed and Insured Loans,64.114
Veteran Readiness and Employment,64.116
Survivors and Dependents Educational Assistance,64.117
Veterans Housing Direct Loans for Certain Disabled Veterans,64.118
Post-Vietnam Era Veterans' Educational Assistance,64.120
All-Volunteer Force Educational Assistance,64.124
Vocational and Educational Counseling for Servicemembers and Veterans,64.125
Native American Veteran Direct Loan Program,64.126
Monthly Allowance for Children of Vietnam Veterans Born with Spina Bifida,64.127
Vocational Training and Rehabilitation Benefits for Children of Vietnam Veterans and Certain other Veterans,64.128
Veteran Rapid Retraining Assistance Program,64.130
National Cemeteries,64.201
Procurement of Headstones and Markers and/or Presidential Memorial Certificates,64.202
Veterans Cemetery Grants Program,64.203
Veterans Legacy Grants Program,64.204
VA Casket or Urn Allowance Program,64.205
VA Outer Burial Receptacle Allowance Program,64.206
Air Pollution Control Program Support,66.001
State and Tribal Indoor Radon Grants,66.032
Ozone Transport Commission,66.033
"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act",66.034
"Internships, Training and Workshops for the Office of Air and Radiation",66.037
"Training, Investigations, and Special Purpose Activities of Federally-Recognized Indian Tribes Consistent With the Clean Air Act (CAA), Tribal Sovereignty and the Protection and Management of Air Quality",66.038
Diesel Emission Reduction Act (DERA) National Grants,66.039
Diesel Emissions Reduction Act (DERA) State Grants,66.040
Wildfire Smoke Preparedness in Community Buildings Grant Program,66.044
Clean School Bus Program,66.045
Climate Pollution Reduction Grants,66.046
Hydrofluorocarbon Reclaim and Innovative Destruction Grants,66.047
Clean Heavy-Duty Vehicles Program,66.049
Clean Ports Program,66.051
Geographic Programs - Puget Sound Protection and Restoration: Tribal Implementation Assistance Program,66.121
Geographic Programs - Puget Sound Action Agenda: Technical Investigations and Implementation Assistance Program,66.123
Geographic Programs – Coastal Wetlands Planning Protection and Restoration Act,66.124
Geographic Programs - Lake Pontchartrain Basic Restoration Program (PRP),66.125
Geographic Programs - San Francisco Bay Water Quality Improvement Fund,66.126
Geographic Programs - Southeast New England Coastal Watershed Restoration Program,66.129
Geographic Programs - Gulf Coast Ecosystem Restoration Council Comprehensive Plan Component,66.130
Congressionally Mandated Projects,66.202
Environmental Finance Center Grants,66.203
Multipurpose Grants to States and Tribes,66.204
Compliance Assistance Support for Services to the Regulated Community and Other Assistance Providers,66.305
Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program,66.306
"Surveys, Studies, Investigations, Training and Special Purpose Activities Relating to Environmental Justice",66.309
Environmental Justice Government-to-Government (EJG2G) Program,66.312
International Compliance and Enforcement Projects,66.313
Construction Grants for Wastewater Treatment Works,66.418
"Water Pollution Control State, Interstate, and Tribal Program Support",66.419
"Surveys, Studies, Investigations, Demonstrations, and Training Grants - Section 1442 of the Safe Drinking Water Act",66.424
State Public Water System Supervision,66.432
State Underground Water Source Protection,66.433
"Surveys, Studies, Investigations, Demonstrations, and Training Grants and Cooperative Agreements - Section 104(b)(3) of the Clean Water Act",66.436
Geographic Programs – Long Island Sound Program,66.437
Water Infrastructure Improvements for the Nation Small and Underserved Communities Emerging Contaminants Grant Program,66.442
Reducing Lead in Drinking Water (SDWA 1459B),66.443
Voluntary School and Child Care Lead Testing and Reduction Grant Program (SDWA 1464(d)),66.444
Innovative Water Infrastructure Workforce Development Program (SDWA 1459E),66.445
Technical Assistance for Treatment Works (Clean Water Act [CWA] Section 104(b)(8)),66.446
Sewer Overflow and Stormwater Reuse Municipal Grant Program,66.447
Drinking Water System Infrastructure Resilience and Sustainability Program – SDWA 1459A(l),66.448
Water Quality Management Planning,66.454
National Estuary Program,66.456
Clean Water State Revolving Fund,66.458
Nonpoint Source Implementation Grants,66.460
Regional Wetland Program Development Grants,66.461
National Wetland Program Development Grants and Five-Star Restoration Training Grant,66.462
Geographic Programs - Chesapeake Bay Program,66.466
Drinking Water State Revolving Fund,66.468
Geographic Programs - Great Lakes Restoration Initiative,66.469
Beach Monitoring and Notification Program Implementation Grants,66.472
Direct Implementation Tribal Cooperative Agreements,66.473
Geographic Programs - Gulf of America Program,66.475
Geographic Programs – Lake Champlain Basin Program,66.481
Geographic Programs - South Florida Geographic Initiatives Program,66.484
Support for the Gulf Hypoxia Action Plan,66.485
Underground Injection Control Program Grants: Class VI Carbon Sequestration Wells,66.486
Non-State Member Support for the Gulf Hypoxia Action Plan,66.487
Midsize and Large Drinking Water System Infrastructure Resilience and Sustainability Program – Safe Drinking Water Act 1459F,66.488
Response to Emergency Situations Affecting Public Water Systems (SDWA 1442(b)),66.489
Centers of Excellence for Stormwater Control Infrastructure Technologies Grant Program,66.490
"Response to Water Emergencies for Systems that Ensure Clean Water (American Relief Act, 2025, Public Law 118-158)",66.491
Senior Environmental Employment Program,66.508
Science To Achieve Results (STAR) Research Program,66.509
"Surveys, Studies, Investigations and Special Purpose Grants within the Office of Research and Development",66.510
Office of Research and Development Consolidated Research/Training/Fellowships,66.511
P3 Award: National Student Design Competition for Sustainability,66.516
State Senior Environmental Employment Program,66.518
Innovative Water Technology Grant Program,66.521
Enhanced Aquifer Use and Recharge Program,66.522
Environmental Protection Consolidated Grants for the Insular Areas - Program Support,66.600
Environmental Justice Small Grant Program,66.604
Performance Partnership Grants,66.605
Environmental Information Exchange Network Grant Program and Related Assistance,66.608
Protection of Children from Environmental Health Risks,66.609
"Surveys, Studies, Investigations and Special Purpose Grants within the Office of the Administrator",66.610
Environmental Policy and Innovation Grants,66.611
Financial Assistance For Community Support Activities To Address Environmental Justice Issues,66.614
Environmental Justice Thriving Communities Grantmaking Program (EJ TCGM),66.615
Environmental and Climate Justice Community Change Grants Program,66.616
Consolidated Pesticide Enforcement Cooperative Agreements,66.700
Toxic Substances Compliance Monitoring Cooperative Agreements,66.701
TSCA Title IV State Lead Grants Certification of Lead-Based Paint Professionals,66.707
Pollution Prevention Grants Program,66.708
Pesticide Environmental Stewardship Program (PESP) Grants,66.714
"Research, Development, Monitoring, Public Education, Outreach, Training, Demonstrations, and Studies",66.716
Source Reduction Assistance,66.717
PRIA 5: Farm Worker and Health Care Provider Training and Education Grants,66.720
Pesticide Registration Improvement Act Employee Training,66.722
Hazardous Waste Management State Program Support,66.801
"Superfund State, Political Subdivision, and Indian Tribe Site-Specific Cooperative Agreements",66.802
"Underground Storage Tank (UST) Prevention, Detection, and Compliance Program",66.804
Leaking Underground Storage Tank Trust Fund Corrective Action Program,66.805
Superfund Technical Assistance Grants (TAG) for Community Groups at National Priority List (NPL) Sites,66.806
Solid Waste Management Assistance Grants,66.808
Superfund State and Indian Tribe Core Program Cooperative Agreements,66.809
Hazardous Waste Management Grant Program for Tribes,66.812
"Alternative or Innovative Treatment Technology Research, Demonstration, Training, and Hazardous Substance Research Grants",66.813
"Brownfields Training, Research, and Technical Assistance Grants and Cooperative Agreements",66.814
Brownfields Job Training Cooperative Agreements,66.815
Headquarters and Regional Underground Storage Tanks Program,66.816
State and Tribal Response Program Grants,66.817
"Brownfields Multipurpose, Assessment, Revolving Loan Fund, and Cleanup Cooperative Agreements",66.818
STATE PROGRAMS FOR CONTROL OF COAL COMBUSTION RESIDUALS,66.820
Solid Waste Infrastructure for Recycling Infrastructure Grants,66.920
